coffee_H_mean,coffee_H_std,coffee_S_mean,coffee_S_std,coffee_V_mean,coffee_V_std,coffee_L_mean,coffee_L_std,coffee_A_mean,coffee_A_std,coffee_Bl_mean,coffee_Bl_std,coffee_grey_mean,coffee_grey_std,flash,agtron
0.025,0.598,0.288,6.8,0.218,5.192,0.177,4.262,128.023,0.544,128.047,1.113,0.163,3.933,0,Agtron 65
1.767,7.375,22.163,56.055,12.651,33.771,9.729,26.928,129.667,4.309,130.624,7.135,9.097,24.906,0,Agtron 65
0.039,0.766,0.407,7.951,0.314,6.164,0.259,5.119,128.029,0.589,128.068,1.335,0.238,4.711,0,Agtron 65
0.008,0.297,0.097,3.844,0.061,2.438,0.048,1.944,128.008,0.307,128.012,0.482,0.044,1.801,0,Agtron 65
1.895,8.132,21.863,55.606,13.03,34.797,10.153,28.134,129.626,4.242,130.666,7.258,9.485,26.035,0,Agtron 65
2.12,9.386,22.075,55.143,13.723,35.969,10.804,29.501,129.651,4.245,130.709,7.285,10.116,27.369,0,Agtron 65
1.45,7.916,18.293,52.444,8.831,26.626,6.529,20.355,129.338,3.945,129.911,5.955,6.142,18.837,0,Agtron 65
1.628,6.919,21.735,56.712,11.776,32.536,8.888,25.486,129.658,4.443,130.537,7.119,8.305,23.528,0,Agtron 65
1.377,7.096,18.465,52.974,8.982,27.023,6.617,20.569,129.387,4.091,129.965,6.063,6.209,19.02,0,Agtron 65
0.006,0.299,0.077,3.553,0.048,2.363,0.039,1.936,128.005,0.243,128.011,0.529,0.036,1.794,0,Agtron 65
2.488,10.99,19.345,52.345,14.252,38.38,11.641,32.579,129.501,4.191,130.653,7.492,10.825,30.323,0,Agtron 65
1.778,7.385,22.511,57.311,12.733,34.273,9.747,27.306,129.702,4.448,130.682,7.309,9.107,25.254,0,Agtron 65
1.823,8.646,21.806,56.17,12.153,33.238,9.282,26.485,129.642,4.37,130.511,7.007,8.698,24.514,0,Agtron 65
2.197,9.693,19.488,52.734,13.808,37.605,11.128,31.539,129.554,4.305,130.624,7.388,10.354,29.348,0,Agtron 65
0.014,0.413,0.168,5.131,0.13,4.034,0.103,3.236,128.015,0.468,128.027,0.821,0.095,2.99,0,Agtron 65
1.741,7.235,22.118,56.505,12.444,33.694,9.526,26.825,129.663,4.363,130.605,7.149,8.913,24.82,0,Agtron 65
1.361,6.054,19.38,54.409,9.379,27.706,6.928,21.215,129.424,4.107,130.068,6.242,6.501,19.607,0,Agtron 65
1.247,5.844,17.64,52.332,8.509,26.382,6.276,20.079,129.304,3.968,129.908,6.056,5.874,18.539,0,Agtron 65
1.523,6.166,20.58,55.45,10.772,30.423,8.132,23.755,129.519,4.203,130.362,6.78,7.592,21.916,0,Agtron 65
1.69,6.594,21.435,55.869,12.152,33.355,9.349,26.519,129.581,4.229,130.615,7.269,8.716,24.472,0,Agtron 65
1.95,6.613,22.768,57.727,15.155,39.858,12.003,32.692,129.724,4.47,131.202,8.473,11.147,30.242,0,Agtron 75
0.005,0.272,0.046,2.575,0.049,2.719,0.041,2.295,128.004,0.212,128.009,0.52,0.039,2.133,0,Agtron 75
2.627,11.54,20.318,54.128,15.861,41.886,12.905,35.275,129.669,4.547,131.02,8.346,11.981,32.824,0,Agtron 75
1.927,7.58,22.646,58.048,14.531,38.786,11.344,31.449,129.78,4.655,131.053,8.268,10.546,29.077,0,Agtron 75
0.897,5.427,14.026,48.774,5.735,20.949,4.005,15.197,129.021,3.659,129.346,5.088,3.782,14.075,0,Agtron 75
0.911,5.341,13.861,48.484,6.043,22.163,4.298,16.356,129.028,3.704,129.416,5.354,4.032,15.09,0,Agtron 75
0.006,0.289,0.063,3.105,0.06,2.995,0.049,2.465,128.006,0.281,128.012,0.602,0.046,2.289,0,Agtron 75
1.528,6.147,20.378,56.088,11.693,33.842,8.901,26.652,129.575,4.43,130.614,7.643,8.263,24.529,0,Agtron 75
2.468,10.292,21.092,55.291,15.808,41.449,12.787,34.748,129.702,4.577,131.081,8.387,11.873,32.29,0,Agtron 75
1.745,6.045,21.587,56.906,13.541,37.228,10.602,30.06,129.605,4.323,130.999,8.282,9.822,27.7,0,Agtron 75
1.821,5.882,22.183,57.556,14.193,38.239,11.185,31.05,129.628,4.325,131.151,8.512,10.353,28.614,0,Agtron 75
2.643,10.866,20.417,53.79,16.116,41.957,13.243,35.648,129.597,4.342,131.059,8.329,12.286,33.155,0,Agtron 75
9.669,36.441,18.27,49.574,5.447,15.52,4.113,13.106,128.647,1.893,128.447,1.879,4.253,12.704,1,Agtron 25
2.462,15.859,20.975,56.239,6.118,16.915,4.47,13.765,128.831,2.227,128.786,2.359,4.537,13.303,1,Agtron 25
0.006,0.957,0.006,0.535,0.007,0.695,0.007,0.676,128.0,0.036,128.0,0.03,0.007,0.642,1,Agtron 25
2.672,16.173,22.534,57.312,7.473,19.765,5.673,16.758,128.938,2.357,128.918,2.585,5.665,15.971,1,Agtron 25
9.425,35.75,19.033,50.546,6.51,18.275,5.146,16.178,128.687,1.937,128.523,2.063,5.204,15.413,1,Agtron 25
2.409,14.811,22.281,56.85,7.534,19.956,5.769,17.052,128.922,2.304,128.92,2.546,5.748,16.241,1,Agtron 25
9.042,34.99,19.609,51.133,6.534,18.034,5.095,15.734,128.73,2.013,128.55,2.048,5.163,15.034,1,Agtron 25
2.425,15.031,22.285,57.195,7.421,19.825,5.655,16.874,128.919,2.318,128.911,2.57,5.639,16.065,1,Agtron 25
8.964,35.025,18.803,51.053,5.403,15.309,4.036,12.836,128.656,1.923,128.466,1.899,4.185,12.468,1,Agtron 25
2.338,14.374,21.778,55.778,7.887,20.832,6.114,17.952,128.944,2.354,128.961,2.656,6.058,17.058,1,Agtron 25
8.928,35.147,18.633,50.644,5.568,15.791,4.218,13.437,128.661,1.917,128.463,1.869,4.347,12.99,1,Agtron 25
