coffee_H_mean,coffee_H_std,coffee_S_mean,coffee_S_std,coffee_V_mean,coffee_V_std,coffee_L_mean,coffee_L_std,coffee_A_mean,coffee_A_std,coffee_Bl_mean,coffee_Bl_std,coffee_grey_mean,coffee_grey_std,flash,agtron
24.371,56.747,16.324,33.944,10.851,23.099,8.822,19.574,129.284,3.106,128.329,2.551,8.925,18.889,0,Agtron 25
20.179,51.082,15.484,32.926,10.49,22.443,8.606,19.176,129.106,2.775,128.389,2.649,8.725,18.522,0,Agtron 25
21.59,53.591,15.834,32.844,10.809,22.437,8.911,19.316,129.186,2.808,128.373,2.277,9.008,18.662,0,Agtron 25
22.817,54.828,15.75,32.769,10.797,22.477,8.888,19.349,129.179,2.801,128.352,2.351,9.006,18.696,0,Agtron 25
22.868,55.306,15.556,32.507,10.633,22.411,8.749,19.336,129.146,2.81,128.372,2.264,8.891,18.686,0,Agtron 25
28.434,58.439,14.95,30.114,9.964,21.12,8.164,18.603,129.0,2.565,127.936,1.903,8.431,18.046,0,Agtron 25
26.051,56.593,13.817,29.161,9.552,20.216,7.886,17.65,128.883,2.368,128.096,1.956,8.142,17.168,0,Agtron 25
27.271,57.573,13.668,28.388,9.566,20.073,7.91,17.576,128.866,2.294,128.034,1.943,8.179,17.117,0,Agtron 25
26.3,56.447,14.39,30.23,9.881,20.588,8.152,18.043,128.908,2.377,128.092,2.085,8.398,17.515,0,Agtron 25
27.222,57.992,14.344,29.763,10.011,21.337,8.253,18.591,128.944,2.439,128.14,2.338,8.495,17.997,0,Agtron 25
26.099,57.01,14.656,30.289,10.173,21.513,8.411,18.865,128.974,2.421,128.174,2.313,8.627,18.239,0,Agtron 25
25.039,55.414,13.794,29.316,9.385,19.843,7.722,17.355,128.863,2.279,128.097,1.913,7.988,16.912,0,Agtron 25
26.045,56.73,14.38,29.875,9.654,20.216,7.941,17.748,128.915,2.325,128.081,1.871,8.195,17.261,0,Agtron 25
16.684,47.743,19.589,40.5,12.667,26.376,10.247,22.278,129.488,3.443,128.993,3.269,10.166,21.241,0,Agtron 35
16.803,47.569,19.848,41.178,12.609,26.435,10.169,22.31,129.492,3.453,128.997,3.41,10.1,21.265,0,Agtron 35
15.438,45.856,19.108,40.86,11.814,25.302,9.494,21.298,129.385,3.365,128.968,3.251,9.471,20.353,0,Agtron 35
15.487,45.578,19.45,41.396,12.142,25.798,9.752,21.629,129.436,3.45,129.012,3.414,9.704,20.645,0,Agtron 35
15.852,46.048,19.325,40.51,12.057,25.602,9.683,21.437,129.443,3.424,128.937,3.258,9.64,20.484,0,Agtron 35
15.635,45.526,20.986,43.923,12.853,27.359,10.19,22.633,129.619,3.817,129.153,3.789,10.084,21.513,0,Agtron 35
15.128,45.053,20.654,43.949,12.681,27.033,10.072,22.337,129.57,3.775,129.201,3.76,9.978,21.251,0,Agtron 35
15.021,44.678,21.143,44.768,13.064,27.629,10.385,22.828,129.618,3.861,129.266,3.938,10.252,21.677,0,Agtron 35
14.32,43.443,21.067,45.043,12.78,27.306,10.141,22.547,129.589,3.794,129.252,3.906,10.023,21.429,0,Agtron 35
14.442,43.533,20.777,44.456,12.734,27.181,10.099,22.385,129.559,3.801,129.239,3.883,10.003,21.275,0,Agtron 35
14.608,44.235,20.973,44.79,12.863,27.295,10.247,22.652,129.569,3.785,129.259,3.821,10.133,21.522,0,Agtron 35
13.35,41.106,23.826,50.871,14.814,31.027,11.766,25.227,129.846,4.262,129.881,5.412,11.381,23.71,0,Agtron 45
13.546,40.95,24.078,50.497,14.88,30.898,11.783,25.097,129.876,4.27,129.795,5.336,11.425,23.606,0,Agtron 45
13.141,40.589,24.511,51.72,15.201,31.605,12.033,25.599,129.93,4.376,129.952,5.564,11.617,24.041,0,Agtron 45
13.007,39.691,24.524,51.271,15.023,31.047,11.904,25.285,129.867,4.263,129.851,5.364,11.545,23.774,0,Agtron 45
12.75,39.54,24.47,51.485,15.222,31.387,12.085,25.516,129.901,4.311,129.909,5.468,11.679,23.974,0,Agtron 45
12.921,39.631,23.948,50.89,14.911,31.347,11.822,25.482,129.857,4.286,129.831,5.464,11.44,23.939,0,Agtron 45
12.178,38.788,24.133,51.428,15.311,32.099,12.158,26.025,129.915,4.378,129.974,5.615,11.714,24.414,0,Agtron 45
12.81,40.281,23.83,50.743,15.098,32.022,11.987,26.02,129.886,4.327,129.916,5.603,11.573,24.419,0,Agtron 45
12.236,39.017,23.888,51.047,14.657,31.245,11.563,25.252,129.89,4.336,129.868,5.463,11.166,23.717,0,Agtron 45
12.167,39.135,24.387,51.74,14.663,31.093,11.5,24.989,129.938,4.403,129.901,5.51,11.117,23.483,0,Agtron 45
12.189,38.617,26.17,55.181,16.725,34.891,13.202,28.147,130.166,4.755,130.411,6.661,12.594,26.265,0,Agtron 55
12.117,38.511,25.761,54.534,16.351,34.203,12.893,27.619,130.133,4.705,130.303,6.438,12.334,25.809,0,Agtron 55
11.953,38.322,25.51,54.593,16.271,34.39,12.834,27.743,130.103,4.722,130.332,6.523,12.269,25.903,0,Agtron 55
11.914,37.626,25.368,54.207,16.162,34.11,12.793,27.651,130.056,4.611,130.267,6.449,12.232,25.829,0,Agtron 55
12.381,39.354,26.037,54.892,16.826,35.061,13.344,28.522,130.15,4.72,130.398,6.58,12.742,26.625,0,Agtron 55
11.527,36.541,25.691,54.485,16.719,34.849,13.296,28.342,130.062,4.596,130.39,6.59,12.692,26.447,0,Agtron 55
11.968,37.049,26.072,54.882,17.118,35.418,13.594,28.745,130.13,4.704,130.447,6.69,12.962,26.809,0,Agtron 55
12.338,38.138,26.314,54.664,17.27,35.509,13.755,28.937,130.124,4.627,130.472,6.714,13.121,26.985,0,Agtron 55
11.986,37.156,26.459,55.634,17.402,36.01,13.857,29.286,130.122,4.68,130.562,6.95,13.198,27.282,0,Agtron 55
