25.881,57.281,16.864,35.074,14.496,34.003,12.509,31.055,0,Agtron 25
22.041,52.233,16.013,34.139,14.033,33.262,12.228,30.593,0,Agtron 25
23.452,54.624,16.495,34.417,14.578,33.8,12.708,31.161,0,Agtron 25
24.614,55.747,16.385,34.267,14.508,33.611,12.648,30.961,0,Agtron 25
24.647,56.204,16.18,34.072,14.252,33.428,12.452,30.837,0,Agtron 25
30.044,59.048,15.632,31.813,13.507,32.698,11.887,30.406,0,Agtron 25
27.874,57.443,14.469,30.675,13.397,32.636,11.906,30.497,0,Agtron 25
29.122,58.382,14.323,29.899,13.499,32.782,12.026,30.701,0,Agtron 25
28.174,57.303,15.103,31.866,13.837,33.182,12.258,30.972,0,Agtron 25
29.092,58.803,15.025,31.284,13.902,33.383,12.298,31.002,0,Agtron 25
27.928,57.863,15.335,31.882,13.996,33.35,12.36,30.974,0,Agtron 25
26.819,56.266,14.442,30.87,13.269,32.386,11.792,30.348,0,Agtron 25
27.855,57.528,15.071,31.543,13.648,32.944,12.096,30.845,0,Agtron 25
18.474,49.222,20.142,41.81,15.95,35.068,13.418,31.393,0,Agtron 35
18.566,49.001,20.4,42.454,15.908,35.16,13.362,31.439,0,Agtron 35
17.244,47.448,19.618,42.124,15.104,34.414,12.743,31.0,0,Agtron 35
17.354,47.255,19.962,42.608,15.49,34.867,13.026,31.262,0,Agtron 35
17.476,47.366,19.829,41.746,15.354,34.61,12.92,31.068,0,Agtron 35
17.294,46.937,21.455,45.103,16.139,35.885,13.35,31.699,0,Agtron 35
16.844,46.566,21.09,45.032,15.949,35.63,13.245,31.603,0,Agtron 35
16.742,46.211,21.624,45.887,16.503,36.427,13.664,32.167,0,Agtron 35
16.105,45.162,21.553,46.159,16.179,36.135,13.385,31.895,0,Agtron 35
16.269,45.286,21.268,45.586,16.17,36.064,13.415,31.885,0,Agtron 35
16.455,45.962,21.447,45.921,16.314,36.242,13.551,32.097,0,Agtron 35
15.009,42.693,24.286,51.728,18.431,39.082,14.954,33.6,0,Agtron 45
15.26,42.686,24.542,51.444,18.424,38.834,14.936,33.402,0,Agtron 45
14.799,42.278,24.954,52.61,18.698,39.325,15.079,33.621,0,Agtron 45
14.669,41.407,24.986,52.241,18.41,38.637,14.903,33.152,0,Agtron 45
14.427,41.302,24.961,52.428,18.814,39.319,15.225,33.731,0,Agtron 45
14.595,41.329,24.418,51.806,18.441,39.185,14.927,33.559,0,Agtron 45
13.959,40.715,24.542,52.258,19.044,40.214,15.408,34.454,0,Agtron 45
14.605,42.143,24.222,51.58,18.717,39.976,15.162,34.269,0,Agtron 45
13.922,40.796,24.292,51.926,18.224,39.282,14.704,33.684,0,Agtron 45
13.826,40.91,24.812,52.655,18.25,39.22,14.674,33.607,0,Agtron 45
14.042,40.639,26.716,55.924,20.811,43.028,16.566,36.216,0,Agtron 55
13.955,40.569,26.235,55.261,20.272,42.183,16.172,35.646,0,Agtron 55
13.745,40.287,26.002,55.351,20.182,42.374,16.087,35.714,0,Agtron 55
13.761,39.646,25.915,54.959,20.158,42.271,16.117,35.729,0,Agtron 55
14.247,41.367,26.503,55.6,20.679,42.865,16.499,36.155,0,Agtron 55
13.28,38.469,26.194,55.209,20.643,42.676,16.528,36.052,0,Agtron 55
13.688,38.913,26.546,55.528,21.031,43.057,16.783,36.208,0,Agtron 55
14.086,39.941,26.821,55.359,21.189,43.127,16.949,36.341,0,Agtron 55
13.708,38.976,26.945,56.253,21.36,43.619,17.062,36.638,0,Agtron 55
14.106,39.229,28.024,58.445,22.291,45.082,17.656,37.329,0,Agtron 65
14.158,38.811,27.961,57.71,22.775,45.597,18.189,38.006,0,Agtron 65
12.798,36.097,26.372,56.537,21.393,45.066,17.1,37.719,0,Agtron 65
13.077,37.103,26.558,56.842,21.642,45.177,17.294,37.754,0,Agtron 65
12.776,36.579,26.352,56.631,21.275,44.496,16.968,37.138,0,Agtron 65
12.975,36.73,26.678,56.761,21.603,44.825,17.26,37.536,0,Agtron 65
12.504,35.777,26.237,57.048,21.637,45.464,17.319,38.029,0,Agtron 65
13.039,37.483,26.282,56.309,21.139,44.137,16.938,37.06,0,Agtron 65
13.252,37.699,26.025,56.215,21.386,44.81,17.147,37.57,0,Agtron 65
13.145,37.595,26.39,56.55,21.567,44.871,17.307,37.665,0,Agtron 65
13.281,37.917,26.151,56.364,21.216,44.542,16.991,37.337,0,Agtron 65
14.145,40.979,27.607,58.31,21.917,45.558,17.391,37.894,0,Agtron 65
13.948,40.705,26.291,56.655,20.595,43.776,16.369,36.516,0,Agtron 65
13.517,39.352,26.762,57.376,21.031,44.443,16.791,37.232,0,Agtron 65
13.635,39.674,27.134,57.962,21.387,44.984,17.043,37.574,0,Agtron 65
13.415,39.347,26.874,58.005,21.093,44.622,16.744,37.183,0,Agtron 65
13.505,40.033,26.256,56.972,20.609,44.005,16.418,36.856,0,Agtron 65
13.742,40.403,27.248,58.213,21.377,44.984,16.962,37.49,0,Agtron 65
13.831,40.491,26.844,57.533,21.083,44.356,16.796,37.118,0,Agtron 65
13.836,40.861,26.618,57.289,21.137,44.541,16.835,37.232,0,Agtron 65
13.403,39.372,26.97,57.793,21.387,44.788,17.032,37.414,0,Agtron 65
12.622,36.803,25.9,56.933,21.166,44.677,16.906,37.315,0,Agtron 65
12.885,37.434,26.493,57.422,21.297,44.528,17.015,37.24,0,Agtron 65
12.543,36.158,26.101,56.903,21.26,44.811,17.002,37.44,0,Agtron 65
12.708,35.592,27.456,58.84,22.961,47.631,18.229,39.199,0,Agtron 75
