8.861,7.265,17.828,8.042,19.754,11.069,25.794,Agtron 25
8.982,7.92,18.92,8.306,20.249,10.714,25.456,Agtron 25
9.088,7.427,18.068,8.237,20.026,11.387,26.166,Agtron 25
8.96,7.913,18.904,8.272,20.252,10.707,25.491,Agtron 25
8.994,7.33,17.855,8.155,19.856,11.269,25.977,Agtron 25
9.133,8.033,19.005,8.413,20.356,10.965,25.709,Agtron 25
9.036,7.379,17.981,8.198,19.988,11.306,26.092,Agtron 25
9.416,8.341,19.489,8.712,20.76,11.204,25.959,Agtron 25
9.257,7.552,18.106,8.407,20.176,11.566,26.375,Agtron 25
9.217,8.188,19.312,8.514,20.557,10.987,25.717,Agtron 25
8.947,7.328,17.894,8.129,19.9,11.164,25.971,Agtron 25
8.858,7.911,18.88,8.192,20.051,10.524,25.107,Agtron 25
9.194,7.637,18.335,8.35,20.141,11.436,26.184,Agtron 25
8.936,7.967,19.038,8.259,20.242,10.634,25.373,Agtron 25
9.311,7.6,18.288,8.461,20.339,11.627,26.533,Agtron 25
8.82,7.894,18.836,8.143,19.982,10.498,25.095,Agtron 25
9.156,7.571,18.295,8.289,20.079,11.458,26.212,Agtron 25
9.204,8.196,19.374,8.5,20.601,10.97,25.859,Agtron 25
9.129,7.554,18.242,8.276,20.069,11.403,26.236,Agtron 25
9.24,8.244,19.392,8.548,20.694,10.978,25.937,Agtron 25
9.078,7.446,18.023,8.246,20.087,11.326,26.26,Agtron 25
8.754,7.768,18.654,8.08,19.972,10.452,25.192,Agtron 25
8.984,7.384,17.961,8.14,19.902,11.246,26.071,Agtron 25
9.926,6.941,17.435,8.768,20.915,13.357,29.045,Agtron 35
10.214,6.875,17.55,8.988,21.347,13.908,29.925,Agtron 35
9.635,6.725,17.248,8.485,20.576,13.02,28.615,Agtron 35
9.886,6.621,17.323,8.715,21.115,13.444,29.508,Agtron 35
9.744,6.782,17.309,8.6,20.816,13.135,28.936,Agtron 35
9.785,6.565,17.258,8.624,21.063,13.303,29.418,Agtron 35
9.982,7.457,17.94,8.957,20.922,12.972,28.389,Agtron 35
10.4,7.508,18.035,9.334,21.511,13.61,29.428,Agtron 35
10.569,7.138,17.369,9.362,21.625,14.265,30.213,Agtron 35
