12.589,8.173,18.651,11.407,26.028,16.601,37.488,171.308,Agtron 75
12.671,8.253,18.956,11.502,26.54,16.659,38.056,171.308,Agtron 75
12.557,8.216,18.867,11.402,26.157,16.489,37.465,171.308,Agtron 75
12.851,8.339,18.983,11.681,26.801,16.872,38.372,171.308,Agtron 75
12.565,8.103,18.37,11.364,25.959,16.625,37.658,171.308,Agtron 75
12.753,8.146,18.342,11.654,26.735,16.663,38.222,171.308,Agtron 75
13.001,8.221,18.381,11.887,27.046,17.011,38.669,171.308,Agtron 75
13.001,8.383,18.629,11.805,26.552,17.11,38.266,171.308,Agtron 75
9.086,8.077,19.04,8.392,20.293,10.829,25.519,195.836,Agtron 25
8.823,7.233,17.736,8.006,19.652,11.027,25.696,195.836,Agtron 25
8.943,7.887,18.833,8.268,20.147,10.671,25.35,195.836,Agtron 25
9.05,7.395,17.978,8.2,19.925,11.344,26.067,195.836,Agtron 25
8.922,7.88,18.817,8.234,20.152,10.664,25.385,195.836,Agtron 25
8.954,7.295,17.758,8.116,19.749,11.225,25.874,195.836,Agtron 25
9.092,7.998,18.914,8.373,20.248,10.918,25.597,195.836,Agtron 25
8.999,7.347,17.893,8.162,19.891,11.265,25.996,195.836,Agtron 25
9.371,8.302,19.394,8.669,20.648,11.155,25.843,195.836,Agtron 25
9.218,7.519,18.015,8.369,20.074,11.523,26.276,195.836,Agtron 25
9.172,8.149,19.214,8.47,20.442,10.937,25.596,195.836,Agtron 25
8.908,7.295,17.801,8.091,19.797,11.121,25.87,195.836,Agtron 25
8.819,7.877,18.793,8.154,19.947,10.481,24.999,195.836,Agtron 25
9.155,7.602,18.243,8.312,20.037,11.393,26.082,195.836,Agtron 25
8.895,7.931,18.946,8.219,20.135,10.588,25.262,195.836,Agtron 25
9.271,7.566,18.195,8.422,20.235,11.583,26.431,195.836,Agtron 25
8.777,7.857,18.741,8.102,19.867,10.45,24.976,195.836,Agtron 25
9.117,7.537,18.203,8.251,19.976,11.415,26.111,195.836,Agtron 25
9.16,8.158,19.277,8.457,20.486,10.921,25.744,195.836,Agtron 25
9.091,7.522,18.153,8.239,19.97,11.361,26.139,195.836,Agtron 25
9.195,8.205,19.296,8.505,20.58,10.928,25.819,195.836,Agtron 25
9.036,7.411,17.927,8.205,19.977,11.28,26.15,195.836,Agtron 25
8.709,7.729,18.553,8.036,19.851,10.401,25.067,195.836,Agtron 25
8.942,7.348,17.863,8.1,19.791,11.201,25.964,195.836,Agtron 25
9.861,6.882,17.253,8.705,20.75,13.287,28.91,188.428,Agtron 35
10.145,6.811,17.353,8.92,21.173,13.834,29.787,188.428,Agtron 35
9.57,6.666,17.063,8.422,20.408,12.951,28.479,188.428,Agtron 35
9.827,6.566,17.152,8.656,20.964,13.381,29.387,188.428,Agtron 35
9.678,6.722,17.122,8.535,20.645,13.065,28.798,188.428,Agtron 35
9.725,6.51,17.086,8.565,20.91,13.239,29.295,188.428,Agtron 35
9.946,7.425,17.849,8.922,20.831,12.932,28.308,188.428,Agtron 35
10.362,7.474,17.936,9.297,21.419,13.568,29.347,188.428,Agtron 35
10.512,7.087,17.217,9.305,21.483,14.202,30.097,188.428,Agtron 35
10.094,6.793,16.494,9.019,20.817,13.481,28.784,188.428,Agtron 35
10.461,7.001,17.105,9.293,21.431,14.09,29.839,188.428,Agtron 35
10.329,7.19,17.196,9.198,21.138,13.767,29.219,195.817,Agtron 35
10.511,6.97,17.013,9.332,21.481,14.188,30.031,195.817,Agtron 35
10.179,7.065,17.066,9.038,20.922,13.63,28.983,195.817,Agtron 35
