14.069,39.215,28.032,58.593,22.237,45.133,18.465,39.415,130.192,5.07,130.873,8.274,17.52,37.109,0,Agtron 65
14.088,38.754,27.89,57.802,22.6,45.484,18.917,39.995,130.103,4.889,130.85,8.167,17.956,37.661,0,Agtron 65
12.8,36.117,26.444,56.744,21.446,45.252,17.948,39.923,129.935,4.778,130.647,8.118,17.056,37.63,0,Agtron 65
12.984,37.01,26.416,56.883,21.361,44.876,17.873,39.506,129.983,4.793,130.669,8.028,16.977,37.253,0,Agtron 65
12.67,36.461,26.204,56.668,20.971,44.152,17.498,38.819,129.98,4.801,130.608,7.88,16.631,36.593,0,Agtron 65
12.894,36.642,26.58,56.84,21.396,44.625,17.897,39.36,129.998,4.803,130.622,7.899,17.006,37.129,0,Agtron 65
12.5,35.775,26.311,57.251,21.695,45.652,18.201,40.26,129.95,4.821,130.771,8.167,17.282,37.951,0,Agtron 65
12.984,37.423,26.239,56.429,21.026,44.089,17.612,38.966,129.963,4.734,130.57,7.699,16.761,36.782,0,Agtron 65
13.208,37.641,26.028,56.371,21.343,44.864,17.928,39.629,129.946,4.755,130.652,7.964,17.027,37.375,0,Agtron 65
13.092,37.538,26.369,56.684,21.482,44.869,18.044,39.662,129.964,4.742,130.657,7.914,17.151,37.424,0,Agtron 65
13.231,37.873,26.08,56.454,21.093,44.497,17.679,39.275,129.953,4.772,130.61,7.831,16.806,37.062,0,Agtron 65
14.065,40.879,27.588,58.447,21.834,45.569,18.162,39.961,130.146,4.982,130.853,8.192,17.242,37.685,0,Agtron 65
13.902,40.648,26.312,56.818,20.602,43.937,17.147,38.612,130.033,4.858,130.607,7.794,16.294,36.428,0,Agtron 65
13.391,39.181,26.703,57.486,20.849,44.294,17.408,39.088,129.981,4.742,130.643,7.888,16.556,36.871,0,Agtron 65
13.562,39.58,27.113,58.099,21.291,44.971,17.777,39.603,130.025,4.821,130.765,8.141,16.879,37.332,0,Agtron 65
13.336,39.242,26.866,58.148,21.012,44.627,17.466,39.167,130.063,4.919,130.717,8.022,16.592,36.948,0,Agtron 65
13.442,39.95,26.242,57.109,20.541,44.035,17.112,38.817,130.012,4.861,130.568,7.728,16.282,36.655,0,Agtron 65
13.688,40.333,27.178,58.306,21.269,44.962,17.691,39.497,130.1,4.954,130.741,8.037,16.797,37.27,0,Agtron 65
13.745,40.373,26.785,57.637,20.944,44.269,17.474,39.026,130.038,4.836,130.646,7.823,16.602,36.826,0,Agtron 65
13.702,40.688,26.533,57.373,20.925,44.349,17.457,39.028,130.045,4.856,130.677,7.851,16.576,36.836,0,Agtron 65
13.355,39.318,26.942,57.916,21.302,44.794,17.783,39.415,130.055,4.888,130.731,7.934,16.879,37.186,0,Agtron 65
12.62,36.841,25.838,57.028,21.079,44.707,17.684,39.388,129.956,4.845,130.718,8.056,16.753,37.116,0,Agtron 65
12.874,37.441,26.513,57.583,21.28,44.657,17.852,39.378,129.981,4.827,130.743,8.032,16.914,37.108,0,Agtron 65
12.543,36.201,26.063,57.014,21.197,44.872,17.792,39.555,129.921,4.79,130.737,8.095,16.866,37.257,0,Agtron 65
12.676,35.565,27.402,58.947,22.859,47.624,19.12,41.569,130.001,4.913,131.197,9.108,18.068,38.995,0,Agtron 75
13.224,37.298,27.523,59.161,23.46,48.959,19.587,42.57,130.095,5.025,131.282,9.31,18.52,39.965,0,Agtron 75
13.563,38.854,27.432,59.248,22.411,47.11,18.596,40.926,130.137,5.105,131.118,8.921,17.609,38.453,0,Agtron 75
13.037,37.383,27.026,58.961,22.117,46.888,18.349,40.704,130.074,5.056,131.087,8.912,17.375,38.206,0,Agtron 75
12.917,36.605,27.247,59.113,21.881,46.562,18.135,40.479,130.034,4.98,131.026,8.871,17.192,38.017,0,Agtron 75
13.214,37.047,27.086,58.559,22.877,48.326,19.085,42.136,130.042,5.001,131.104,9.091,18.075,39.578,0,Agtron 75
12.67,35.911,26.616,58.375,21.863,46.624,18.191,40.672,129.981,4.954,130.959,8.769,17.249,38.191,0,Agtron 75
12.845,36.133,27.145,58.596,22.478,47.631,18.685,41.401,130.024,4.965,131.103,9.053,17.695,38.853,0,Agtron 75
12.802,36.171,27.245,58.966,22.05,46.778,18.261,40.628,130.062,5.035,131.032,8.935,17.299,38.142,0,Agtron 75
12.07,33.922,26.623,58.001,22.137,47.091,18.516,41.143,129.872,4.782,131.106,9.085,17.51,38.568,0,Agtron 75
12.461,34.851,26.951,58.419,22.28,47.077,18.637,41.102,129.887,4.783,131.168,9.184,17.606,38.497,0,Agtron 75
12.356,34.601,27.81,59.04,22.382,46.913,18.558,40.85,130.023,4.991,131.031,8.908,17.569,38.348,0,Agtron 75
20.184,49.257,24.962,52.495,16.048,38.338,13.856,36.183,129.109,3.514,128.527,3.825,13.651,34.603,1,Agtron 25
12.722,38.288,29.079,60.225,16.181,38.143,13.633,35.771,129.296,3.703,128.935,4.098,13.398,34.193,1,Agtron 25
18.912,47.491,25.045,53.397,15.728,37.891,13.555,35.755,129.082,3.524,128.57,3.841,13.362,34.194,1,Agtron 25
13.083,38.858,29.802,60.802,16.498,38.382,13.855,35.922,129.35,3.741,128.966,4.138,13.615,34.333,1,Agtron 25
19.414,48.355,25.194,53.397,15.783,38.024,13.605,35.909,129.093,3.501,128.557,3.835,13.413,34.333,1,Agtron 25
12.489,37.845,29.54,60.46,16.391,38.263,13.795,35.87,129.327,3.717,128.983,4.117,13.552,34.285,1,Agtron 25
19.136,47.975,25.728,53.751,16.08,38.231,13.833,36.083,129.145,3.544,128.592,3.827,13.631,34.504,1,Agtron 25
12.768,38.312,29.812,60.954,16.438,38.374,13.829,35.965,129.324,3.714,128.977,4.123,13.588,34.376,1,Agtron 25
19.462,48.159,25.87,54.021,16.333,38.429,14.097,36.291,129.119,3.543,128.568,3.836,13.885,34.693,1,Agtron 25
12.851,38.41,29.295,59.651,16.851,38.813,14.218,36.368,129.353,3.729,129.011,4.187,13.949,34.765,1,Agtron 25
19.781,48.854,25.436,53.568,16.204,38.409,14.003,36.351,129.116,3.517,128.542,3.79,13.799,34.754,1,Agtron 25
12.665,38.159,28.642,59.166,16.248,38.209,13.71,35.811,129.298,3.682,128.954,4.066,13.468,34.232,1,Agtron 25
19.594,48.681,24.313,52.348,15.473,37.493,13.363,35.415,129.065,3.461,128.493,3.719,13.179,33.879,1,Agtron 25
