coffee_H_mean,coffee_H_std,coffee_S_mean,coffee_S_std,coffee_V_mean,coffee_V_std,coffee_L_mean,coffee_L_std,coffee_A_mean,coffee_A_std,coffee_Bl_mean,coffee_Bl_std,coffee_grey_mean,coffee_grey_std,flash,agtron
24.483,56.834,16.415,34.02,11.112,23.844,9.062,20.301,129.301,3.2,128.344,2.603,9.15,19.543,0,Agtron 25
20.291,51.187,15.575,33.012,10.746,23.207,8.84,19.902,129.123,2.881,128.405,2.707,8.943,19.174,0,Agtron 25
21.696,53.681,15.915,32.916,11.061,23.17,9.144,20.026,129.201,2.905,128.388,2.341,9.226,19.298,0,Agtron 25
22.942,54.919,15.835,32.831,11.112,23.367,9.187,20.259,129.195,2.902,128.368,2.409,9.286,19.513,0,Agtron 25
23.02,55.408,15.651,32.573,11.027,23.509,9.129,20.497,129.162,2.917,128.39,2.331,9.247,19.73,0,Agtron 25
28.645,58.558,15.034,30.168,10.392,22.369,8.581,19.937,129.015,2.665,127.948,1.981,8.822,19.242,0,Agtron 25
26.168,56.661,13.894,29.225,9.865,21.188,8.186,18.657,128.896,2.469,128.11,2.03,8.423,18.065,0,Agtron 25
27.391,57.642,13.739,28.45,9.855,20.985,8.187,18.508,128.879,2.397,128.047,2.014,8.438,17.944,0,Agtron 25
26.415,56.514,14.465,30.288,10.19,21.531,8.45,19.018,128.921,2.479,128.107,2.153,8.676,18.383,0,Agtron 25
27.362,58.068,14.414,29.807,10.348,22.312,8.581,19.633,128.956,2.534,128.152,2.392,8.802,18.928,0,Agtron 25
26.226,57.071,14.731,30.328,10.547,22.567,8.779,20.018,128.986,2.503,128.189,2.373,8.971,19.274,0,Agtron 25
25.14,55.474,13.863,29.373,9.666,20.744,7.991,18.275,128.876,2.386,128.109,1.978,8.24,17.729,0,Agtron 25
26.14,56.776,14.449,29.91,9.97,21.183,8.248,18.772,128.926,2.416,128.095,1.94,8.482,18.173,0,Agtron 25
16.809,47.86,19.67,40.535,13.0,27.169,10.564,23.118,129.504,3.532,129.007,3.301,10.463,22.008,0,Agtron 35
16.927,47.686,19.934,41.215,12.948,27.242,10.49,23.16,129.509,3.546,129.012,3.44,10.401,22.042,0,Agtron 35
15.566,45.984,19.209,40.921,12.17,26.201,9.831,22.239,129.403,3.46,128.986,3.303,9.787,21.21,0,Agtron 35
15.609,45.697,19.551,41.447,12.501,26.678,10.092,22.557,129.454,3.539,129.03,3.46,10.022,21.491,0,Agtron 35
15.983,46.181,19.425,40.574,12.395,26.439,10.002,22.312,129.461,3.513,128.953,3.307,9.939,21.281,0,Agtron 35
15.8,45.693,21.087,43.957,13.249,28.252,10.568,23.614,129.636,3.894,129.171,3.832,10.439,22.413,0,Agtron 35
15.265,45.203,20.756,43.996,13.038,27.862,10.409,23.225,129.588,3.853,129.219,3.802,10.294,22.064,0,Agtron 35
15.164,44.836,21.246,44.81,13.438,28.471,10.74,23.737,129.636,3.937,129.284,3.979,10.585,22.511,0,Agtron 35
14.467,43.606,21.173,45.085,13.168,28.189,10.51,23.506,129.608,3.872,129.271,3.952,10.368,22.308,0,Agtron 35
14.557,43.66,20.881,44.512,13.066,27.95,10.409,23.197,129.577,3.873,129.258,3.931,10.294,22.019,0,Agtron 35
14.751,44.384,21.071,44.827,13.235,28.131,10.604,23.569,129.585,3.857,129.276,3.861,10.467,22.362,0,Agtron 35
13.434,41.198,23.917,50.889,15.101,31.594,12.036,25.842,129.86,4.308,129.9,5.444,11.635,24.281,0,Agtron 45
13.634,41.054,24.168,50.52,15.156,31.447,12.042,25.688,129.89,4.316,129.814,5.368,11.667,24.153,0,Agtron 45
13.219,40.678,24.602,51.736,15.478,32.147,12.292,26.179,129.944,4.422,129.972,5.595,11.86,24.579,0,Agtron 45
13.097,39.798,24.612,51.282,15.311,31.618,12.176,25.904,129.881,4.31,129.87,5.394,11.8,24.348,0,Agtron 45
12.823,39.624,24.561,51.506,15.491,31.916,12.336,26.08,129.914,4.355,129.928,5.499,11.915,24.497,0,Agtron 45
13.009,39.733,24.039,50.905,15.193,31.9,12.088,26.081,129.87,4.328,129.851,5.497,11.689,24.496,0,Agtron 45
12.261,38.891,24.247,51.465,15.594,32.655,12.417,26.594,129.93,4.421,129.999,5.664,11.956,24.943,0,Agtron 45
12.892,40.375,23.951,50.787,15.387,32.592,12.252,26.605,129.901,4.372,129.942,5.653,11.821,24.962,0,Agtron 45
12.32,39.115,24.018,51.116,14.954,31.851,11.835,25.876,129.906,4.379,129.896,5.525,11.42,24.296,0,Agtron 45
12.236,39.217,24.516,51.807,14.934,31.659,11.744,25.555,129.954,4.448,129.929,5.57,11.345,24.007,0,Agtron 45
12.292,38.72,26.349,55.232,17.161,35.652,13.605,28.955,130.186,4.808,130.453,6.725,12.971,27.019,0,Agtron 55
12.239,38.647,25.945,54.586,16.828,35.053,13.337,28.531,130.155,4.763,130.345,6.504,12.749,26.66,0,Agtron 55
12.067,38.441,25.676,54.632,16.736,35.217,13.268,28.635,130.123,4.78,130.372,6.583,12.675,26.737,0,Agtron 55
12.032,37.749,25.55,54.267,16.628,34.948,13.226,28.541,130.077,4.667,130.309,6.517,12.637,26.66,0,Agtron 55
12.491,39.473,26.182,54.921,17.243,35.791,13.733,29.295,130.17,4.773,130.433,6.634,13.106,27.348,0,Agtron 55
11.618,36.647,25.861,54.54,17.104,35.549,13.645,29.041,130.084,4.654,130.43,6.652,13.018,27.1,0,Agtron 55
12.065,37.155,26.236,54.922,17.537,36.147,13.978,29.497,130.152,4.762,130.486,6.748,13.322,27.512,0,Agtron 55
12.434,38.232,26.49,54.718,17.69,36.241,14.14,29.684,130.145,4.684,130.513,6.779,13.48,27.683,0,Agtron 55
12.077,37.251,26.629,55.669,17.803,36.701,14.223,29.989,130.142,4.73,130.602,7.008,13.541,27.94,0,Agtron 55
12.667,37.79,27.559,57.903,18.81,38.667,15.066,31.596,130.197,4.926,130.963,7.949,14.256,29.339,0,Agtron 65
12.572,37.253,27.459,57.145,19.021,38.786,15.347,31.89,130.125,4.753,130.959,7.864,14.528,29.616,0,Agtron 65
11.125,34.27,25.989,56.128,17.591,37.824,14.112,31.002,129.956,4.614,130.767,7.81,13.373,28.78,0,Agtron 65
11.39,35.342,26.031,56.344,17.665,37.623,14.19,30.796,130.01,4.658,130.791,7.727,13.439,28.606,0,Agtron 65
11.158,34.801,25.899,56.103,17.636,37.529,14.153,30.747,130.012,4.684,130.746,7.603,13.417,28.575,0,Agtron 65
