coffee_H_mean,coffee_H_std,coffee_S_mean,coffee_S_std,coffee_V_mean,coffee_V_std,coffee_L_mean,coffee_L_std,coffee_A_mean,coffee_A_std,coffee_Bl_mean,coffee_Bl_std,coffee_grey_mean,coffee_grey_std,flash,agtron
24.93,57.116,16.697,34.158,12.3,26.945,10.218,23.719,129.338,3.354,128.391,2.757,10.24,22.684,0,Agtron 25
20.793,51.555,15.852,33.145,12.021,26.585,10.091,23.653,129.157,3.055,128.449,2.844,10.123,22.616,0,Agtron 25
22.143,53.971,16.183,33.08,12.262,26.377,10.319,23.533,129.235,3.094,128.437,2.52,10.333,22.509,0,Agtron 25
23.41,55.203,16.099,32.971,12.369,26.673,10.421,23.893,129.229,3.084,128.414,2.573,10.448,22.843,0,Agtron 25
23.511,55.716,15.884,32.686,12.217,26.632,10.298,23.918,129.195,3.084,128.427,2.485,10.348,22.866,0,Agtron 25
29.273,58.908,15.219,30.263,11.447,25.33,9.606,23.038,129.049,2.869,127.963,2.144,9.787,22.069,0,Agtron 25
26.635,56.889,14.112,29.347,11.086,24.725,9.39,22.498,128.928,2.688,128.147,2.204,9.556,21.561,0,Agtron 25
27.856,57.874,13.947,28.569,10.998,24.352,9.31,22.125,128.912,2.626,128.083,2.189,9.494,21.231,0,Agtron 25
26.857,56.742,14.669,30.397,11.283,24.678,9.522,22.395,128.952,2.687,128.141,2.317,9.684,21.459,0,Agtron 25
27.866,58.327,14.611,29.897,11.477,25.444,9.691,23.017,128.988,2.747,128.182,2.519,9.845,22.019,0,Agtron 25
26.69,57.302,14.917,30.396,11.696,25.689,9.916,23.424,129.014,2.695,128.22,2.495,10.041,22.388,0,Agtron 25
25.572,55.692,14.066,29.47,10.802,24.114,9.112,21.934,128.904,2.597,128.144,2.142,9.294,21.053,0,Agtron 25
26.547,56.969,14.648,29.999,11.103,24.467,9.367,22.33,128.955,2.618,128.13,2.106,9.534,21.41,0,Agtron 25
17.24,48.233,19.851,40.592,14.033,29.497,11.58,25.76,129.535,3.676,129.035,3.374,11.42,24.455,0,Agtron 35
17.426,48.148,20.131,41.274,14.028,29.675,11.549,25.9,129.543,3.7,129.041,3.518,11.399,24.58,0,Agtron 35
15.979,46.363,19.404,41.001,13.217,28.671,10.86,25.035,129.433,3.607,129.018,3.392,10.756,23.794,0,Agtron 35
16.058,46.116,19.75,41.516,13.587,29.18,11.16,25.404,129.486,3.685,129.063,3.548,11.028,24.126,0,Agtron 35
16.401,46.533,19.634,40.652,13.506,29.006,11.097,25.262,129.49,3.655,128.988,3.401,10.97,24.008,0,Agtron 35
16.283,46.139,21.271,43.991,14.35,30.603,11.659,26.387,129.663,4.0,129.201,3.909,11.467,24.988,0,Agtron 35
15.654,45.57,20.949,44.054,14.072,30.124,11.429,25.864,129.617,3.964,129.25,3.88,11.255,24.515,0,Agtron 35
15.582,45.219,21.437,44.847,14.542,30.8,11.834,26.496,129.663,4.04,129.315,4.055,11.616,25.077,0,Agtron 35
14.903,44.032,21.374,45.133,14.326,30.669,11.657,26.432,129.637,3.984,129.306,4.031,11.449,25.028,0,Agtron 35
14.929,44.001,21.084,44.57,14.135,30.273,11.465,25.936,129.604,3.978,129.294,4.012,11.289,24.563,0,Agtron 35
15.109,44.72,21.247,44.865,14.202,30.222,11.558,26.01,129.611,3.957,129.307,3.933,11.366,24.629,0,Agtron 35
13.725,41.456,24.109,50.902,16.112,33.509,13.035,28.153,129.884,4.395,129.94,5.497,12.576,26.453,0,Agtron 45
13.929,41.358,24.341,50.534,16.039,33.149,12.91,27.718,129.914,4.404,129.85,5.422,12.485,26.059,0,Agtron 45
13.475,40.943,24.772,51.739,16.334,33.762,13.13,28.099,129.969,4.51,130.008,5.643,12.649,26.385,0,Agtron 45
13.429,40.1,24.798,51.269,16.426,33.685,13.289,28.461,129.902,4.394,129.908,5.435,12.849,26.75,0,Agtron 45
13.061,39.883,24.734,51.515,16.294,33.452,13.118,27.869,129.94,4.445,129.964,5.546,12.651,26.179,0,Agtron 45
13.312,40.025,24.21,50.887,16.181,33.732,13.07,28.325,129.891,4.404,129.887,5.54,12.614,26.605,0,Agtron 45
12.544,39.192,24.474,51.501,16.548,34.416,13.347,28.672,129.956,4.5,130.047,5.74,12.832,26.898,0,Agtron 45
13.211,40.702,24.168,50.808,16.363,34.385,13.21,28.746,129.925,4.448,129.99,5.724,12.723,26.974,0,Agtron 45
12.6,39.4,24.283,51.213,15.897,33.673,12.747,27.99,129.933,4.455,129.954,5.639,12.279,26.28,0,Agtron 45
12.444,39.434,24.787,51.915,15.756,33.294,12.526,27.397,129.983,4.523,129.991,5.692,12.081,25.734,0,Agtron 45
12.604,39.063,26.622,55.255,18.192,37.405,14.595,30.954,130.22,4.907,130.515,6.807,13.903,28.909,0,Agtron 55
12.564,39.019,26.205,54.605,17.869,36.865,14.338,30.599,130.19,4.861,130.404,6.585,13.692,28.614,0,Agtron 55
12.385,38.773,25.942,54.659,17.848,37.126,14.346,30.856,130.157,4.878,130.431,6.665,13.691,28.837,0,Agtron 55
12.405,38.158,25.82,54.3,17.758,36.911,14.318,30.801,130.112,4.772,130.368,6.602,13.666,28.797,0,Agtron 55
12.832,39.858,26.418,54.928,18.235,37.482,14.686,31.21,130.204,4.874,130.485,6.708,14.003,29.16,0,Agtron 55
11.923,36.972,26.165,54.604,18.194,37.413,14.691,31.151,130.119,4.758,130.499,6.751,14.003,29.096,0,Agtron 55
12.369,37.473,26.508,54.946,18.629,37.959,15.033,31.581,130.186,4.858,130.547,6.832,14.314,29.486,0,Agtron 55
12.761,38.551,26.775,54.752,18.8,38.077,15.211,31.786,130.179,4.78,130.579,6.875,14.489,29.672,0,Agtron 55
12.384,37.562,26.915,55.677,18.897,38.5,15.274,32.031,130.176,4.831,130.669,7.091,14.53,29.874,0,Agtron 55
13.003,38.109,27.841,57.894,19.99,40.454,16.214,33.695,130.228,5.008,131.029,8.011,15.337,31.341,0,Agtron 65
12.963,37.645,27.754,57.129,20.206,40.571,16.496,33.955,130.155,4.837,131.027,7.934,15.609,31.581,0,Agtron 65
11.45,34.625,26.364,56.19,18.738,39.702,15.199,33.064,129.991,4.697,130.86,7.937,14.395,30.739,0,Agtron 65
11.776,35.744,26.416,56.4,18.953,39.707,15.42,33.13,130.047,4.747,130.884,7.846,14.597,30.826,0,Agtron 65
11.568,35.245,26.247,56.149,18.912,39.571,15.383,33.085,130.046,4.768,130.826,7.704,14.575,30.8,0,Agtron 65
11.66,35.291,26.558,56.306,18.993,39.449,15.452,32.977,130.059,4.755,130.836,7.702,14.632,30.698,0,Agtron 65
11.233,34.352,26.275,56.729,19.012,40.162,15.471,33.471,130.006,4.753,130.97,7.981,14.637,31.116,0,Agtron 65
11.85,36.187,26.176,55.791,18.718,38.974,15.266,32.694,130.017,4.685,130.76,7.477,14.484,30.454,0,Agtron 65
12.052,36.45,25.94,55.788,18.902,39.612,15.461,33.239,129.997,4.697,130.838,7.733,14.634,30.93,0,Agtron 65
11.858,36.183,26.271,56.042,18.997,39.504,15.532,33.134,130.016,4.681,130.848,7.691,14.714,30.84,0,Agtron 65
12.137,36.741,26.047,55.88,18.784,39.392,15.333,33.011,130.009,4.71,130.806,7.628,14.527,30.734,0,Agtron 65
13.288,40.205,27.539,57.845,19.702,40.744,16.011,34.096,130.195,4.97,131.024,7.971,15.14,31.719,0,Agtron 65
13.106,39.93,26.258,56.227,18.703,39.364,15.234,33.089,130.082,4.841,130.773,7.559,14.425,30.814,0,Agtron 65
12.655,38.487,26.704,56.907,18.95,39.69,15.486,33.533,130.038,4.741,130.837,7.682,14.675,31.219,0,Agtron 65
12.716,38.773,27.073,57.518,19.195,40.104,15.669,33.768,130.075,4.809,130.946,7.926,14.821,31.401,0,Agtron 65
12.539,38.487,26.815,57.556,18.963,39.809,15.405,33.347,130.113,4.908,130.897,7.804,14.577,31.034,0,Agtron 65
12.471,38.984,26.195,56.494,18.359,38.949,14.906,32.643,130.061,4.848,130.752,7.513,14.13,30.399,0,Agtron 65
12.641,39.362,27.162,57.75,18.926,39.753,15.319,33.122,130.154,4.924,130.943,7.842,14.488,30.815,0,Agtron 65
12.884,39.571,26.844,57.076,19.07,39.704,15.566,33.46,130.1,4.843,130.862,7.638,14.732,31.155,0,Agtron 65
12.826,39.881,26.599,56.848,19.027,39.802,15.521,33.431,130.1,4.845,130.882,7.674,14.678,31.13,0,Agtron 65
12.365,38.373,26.931,57.295,19.06,39.759,15.508,33.243,130.108,4.858,130.938,7.746,14.661,30.931,0,Agtron 65
11.522,35.694,25.923,56.566,18.847,39.844,15.395,33.326,130.017,4.8,130.941,7.898,14.527,30.984,0,Agtron 65
11.829,36.382,26.472,56.962,19.11,39.807,15.658,33.476,130.037,4.781,130.95,7.827,14.779,31.133,0,Agtron 65
11.386,34.945,26.101,56.52,18.874,39.898,15.418,33.384,129.982,4.727,130.955,7.93,14.562,31.03,0,Agtron 65
11.919,34.813,27.289,58.459,21.007,43.688,17.281,36.906,130.054,4.86,131.364,8.883,16.277,34.269,0,Agtron 75
12.942,37.132,27.453,58.772,21.866,45.166,18.035,38.247,130.141,5.003,131.404,9.073,16.989,35.529,0,Agtron 75
13.283,38.665,27.357,58.766,20.976,43.459,17.197,36.725,130.178,5.072,131.245,8.676,16.226,34.133,0,Agtron 75
12.914,37.307,27.075,58.537,21.099,43.849,17.347,37.187,130.123,5.034,131.233,8.703,16.371,34.55,0,Agtron 75
12.728,36.487,27.161,58.618,20.588,43.074,16.876,36.491,130.082,4.957,131.145,8.628,15.946,33.912,0,Agtron 75
12.861,36.813,26.938,58.116,21.121,44.24,17.381,37.521,130.084,4.959,131.214,8.833,16.405,34.868,0,Agtron 75
12.468,35.808,26.498,57.829,20.522,43.105,16.881,36.646,130.03,4.918,131.079,8.516,15.959,34.061,0,Agtron 75
12.59,35.981,27.091,58.181,21.086,44.098,17.323,37.37,130.073,4.938,131.24,8.829,16.354,34.714,0,Agtron 75
12.367,35.818,27.155,58.541,20.538,43.091,16.773,36.346,130.116,5.017,131.185,8.706,15.84,33.768,0,Agtron 75
11.399,33.193,26.682,57.687,20.571,43.548,16.923,36.852,129.941,4.741,131.318,8.93,15.958,34.2,0,Agtron 75
11.53,33.868,26.953,58.085,20.416,43.282,16.738,36.427,129.96,4.74,131.392,9.031,15.768,33.777,0,Agtron 75
11.529,33.634,27.785,58.593,20.622,42.957,16.801,36.134,130.078,4.915,131.256,8.734,15.854,33.552,0,Agtron 75
18.205,47.522,24.164,49.705,12.196,27.84,10.026,24.951,129.076,3.259,128.647,3.28,9.973,23.52,1,Agtron 25
10.748,35.427,28.648,58.684,12.64,28.541,10.108,25.385,129.266,3.473,129.052,3.597,10.009,23.932,1,Agtron 25
16.988,45.658,24.282,50.615,12.0,27.595,9.836,24.692,129.051,3.268,128.686,3.305,9.793,23.28,1,Agtron 25
11.143,36.151,29.348,59.201,13.003,28.935,10.384,25.738,129.322,3.51,129.092,3.637,10.278,24.26,1,Agtron 25
17.538,46.646,24.413,50.595,12.115,27.922,9.949,25.104,129.062,3.242,128.671,3.298,9.906,23.662,1,Agtron 25
10.682,35.261,29.11,58.893,12.977,29.005,10.399,25.882,129.301,3.489,129.098,3.616,10.288,24.403,1,Agtron 25
17.202,46.203,24.98,51.057,12.336,28.037,10.104,25.135,129.114,3.284,128.709,3.289,10.05,23.697,1,Agtron 25
10.874,35.571,29.392,59.44,13.012,29.069,10.427,25.963,129.297,3.481,129.094,3.619,10.316,24.468,1,Agtron 25
17.42,46.268,25.101,51.237,12.505,28.048,10.283,25.162,129.09,3.288,128.695,3.298,10.224,23.707,1,Agtron 25
10.905,35.642,28.804,57.99,13.208,29.147,10.598,25.924,129.325,3.497,129.13,3.687,10.468,24.44,1,Agtron 25
17.817,47.116,24.654,50.767,12.358,28.002,10.166,25.199,129.085,3.256,128.662,3.246,10.117,23.752,1,Agtron 25
10.776,35.428,28.177,57.546,12.808,28.854,10.297,25.755,129.268,3.446,129.072,3.553,10.185,24.286,1,Agtron 25
17.887,47.125,23.555,49.545,12.161,28.075,10.079,25.483,129.032,3.195,128.605,3.161,10.024,24.043,1,Agtron 25
10.974,35.883,28.677,57.931,12.982,28.778,10.4,25.59,129.307,3.469,129.021,3.502,10.296,24.132,1,Agtron 25
17.83,47.008,23.832,49.873,12.188,28.109,10.061,25.392,129.054,3.242,128.62,3.249,10.006,23.943,1,Agtron 25
10.718,35.145,29.114,58.622,13.158,29.049,10.544,25.772,129.323,3.523,129.131,3.653,10.411,24.282,1,Agtron 25
18.573,48.063,23.75,49.737,11.848,27.432,9.719,24.615,129.049,3.219,128.592,3.211,9.697,23.231,1,Agtron 25
