coffee_H_mean,coffee_H_std,coffee_S_mean,coffee_S_std,coffee_V_mean,coffee_V_std,coffee_L_mean,coffee_L_std,coffee_A_mean,coffee_A_std,coffee_Bl_mean,coffee_Bl_std,coffee_grey_mean,coffee_grey_std,flash,agtron
24.458,56.816,16.396,34.007,11.049,23.67,9.003,20.123,129.298,3.183,128.34,2.593,9.095,19.382,0,Agtron 25
20.265,51.162,15.556,32.995,10.686,23.03,8.785,19.73,129.119,2.857,128.402,2.696,8.892,19.019,0,Agtron 25
21.673,53.663,15.898,32.904,11.002,23.004,9.088,19.858,129.198,2.886,128.385,2.329,9.174,19.146,0,Agtron 25
22.915,54.901,15.817,32.819,11.037,23.16,9.116,20.042,129.192,2.882,128.364,2.398,9.218,19.317,0,Agtron 25
22.985,55.385,15.63,32.558,10.933,23.251,9.038,20.219,129.159,2.896,128.386,2.317,9.161,19.478,0,Agtron 25
28.601,58.532,15.017,30.157,10.306,22.117,8.498,19.675,129.012,2.643,127.945,1.965,8.744,19.006,0,Agtron 25
26.137,56.644,13.875,29.21,9.779,20.926,8.102,18.374,128.893,2.448,128.107,2.013,8.344,17.812,0,Agtron 25
27.361,57.626,13.722,28.436,9.777,20.747,8.111,18.253,128.877,2.377,128.044,1.997,8.367,17.717,0,Agtron 25
26.388,56.5,14.447,30.276,10.11,21.292,8.372,18.761,128.919,2.46,128.103,2.137,8.602,18.154,0,Agtron 25
27.327,58.049,14.398,29.797,10.264,22.072,8.499,19.371,128.953,2.514,128.149,2.38,8.724,18.693,0,Agtron 25
26.194,57.056,14.712,30.32,10.455,22.31,8.688,19.735,128.983,2.487,128.185,2.358,8.886,19.018,0,Agtron 25
25.115,55.459,13.846,29.359,9.596,20.523,7.923,18.042,128.873,2.366,128.106,1.962,8.176,17.521,0,Agtron 25
26.116,56.766,14.431,29.901,9.887,20.936,8.168,18.503,128.924,2.397,128.091,1.923,8.407,17.933,0,Agtron 25
16.781,47.834,19.653,40.528,12.925,26.993,10.492,22.926,129.501,3.517,129.004,3.295,10.395,21.831,0,Agtron 35
16.899,47.659,19.915,41.207,12.871,27.063,10.416,22.967,129.506,3.529,129.009,3.434,10.332,21.865,0,Agtron 35
15.538,45.957,19.189,40.91,12.091,26.006,9.755,22.028,129.399,3.445,128.983,3.292,9.716,21.016,0,Agtron 35
15.58,45.669,19.529,41.436,12.418,26.48,10.013,22.344,129.451,3.522,129.027,3.45,9.948,21.296,0,Agtron 35
15.952,46.151,19.404,40.563,12.317,26.249,9.928,22.109,129.457,3.495,128.95,3.298,9.869,21.096,0,Agtron 35
15.767,45.661,21.068,43.952,13.171,28.077,10.493,23.42,129.633,3.88,129.167,3.824,10.369,22.234,0,Agtron 35
15.236,45.173,20.736,43.988,12.964,27.694,10.339,23.04,129.585,3.84,129.215,3.794,10.228,21.894,0,Agtron 35
15.133,44.803,21.228,44.804,13.361,28.299,10.666,23.548,129.633,3.924,129.28,3.972,10.516,22.337,0,Agtron 35
14.435,43.572,21.154,45.081,13.087,28.009,10.432,23.303,129.605,3.859,129.268,3.944,10.295,22.121,0,Agtron 35
14.531,43.632,20.862,44.503,12.995,27.787,10.342,23.02,129.573,3.859,129.254,3.923,10.231,21.856,0,Agtron 35
14.722,44.354,21.051,44.82,13.158,27.959,10.53,23.379,129.582,3.843,129.273,3.853,10.398,22.187,0,Agtron 35
13.415,41.178,23.898,50.885,15.038,31.471,11.976,25.705,129.857,4.299,129.896,5.437,11.579,24.154,0,Agtron 45
