coffee_H_mean,coffee_H_std,coffee_S_mean,coffee_S_std,coffee_V_mean,coffee_V_std,coffee_L_mean,coffee_L_std,coffee_A_mean,coffee_A_std,coffee_Bl_mean,coffee_Bl_std,coffee_grey_mean,coffee_grey_std,flash,agtron
24.319,56.704,16.276,33.897,10.726,22.735,8.709,19.236,129.275,3.052,128.321,2.518,8.82,18.588,0,Agtron 25
20.121,51.024,15.43,32.868,10.362,22.05,8.493,18.826,129.096,2.707,128.38,2.609,8.619,18.211,0,Agtron 25
21.536,53.54,15.79,32.801,10.688,22.075,8.801,18.987,129.177,2.747,128.365,2.24,8.907,18.37,0,Agtron 25
22.759,54.78,15.705,32.729,10.661,22.077,8.763,18.972,129.17,2.738,128.344,2.317,8.889,18.361,0,Agtron 25
22.796,55.252,15.503,32.46,10.463,21.921,8.59,18.85,129.136,2.744,128.362,2.224,8.743,18.255,0,Agtron 25
28.301,58.367,14.904,30.095,9.696,20.343,7.898,17.731,128.992,2.509,127.929,1.864,8.183,17.273,0,Agtron 25
26.001,56.559,13.783,29.14,9.425,19.804,7.767,17.252,128.875,2.308,128.089,1.922,8.031,16.818,0,Agtron 25
27.218,57.538,13.632,28.354,9.44,19.665,7.793,17.184,128.859,2.231,128.027,1.906,8.07,16.772,0,Agtron 25
26.249,56.414,14.353,30.201,9.749,20.177,8.028,17.64,128.901,2.319,128.085,2.048,8.282,17.16,0,Agtron 25
27.164,57.957,14.309,29.736,9.879,20.941,8.128,18.198,128.936,2.383,128.133,2.309,8.379,17.648,0,Agtron 25
26.042,56.979,14.626,30.275,10.028,21.102,8.27,18.428,128.969,2.377,128.168,2.287,8.495,17.852,0,Agtron 25
24.999,55.389,13.763,29.289,9.27,19.473,7.614,16.992,128.857,2.227,128.09,1.873,7.888,16.594,0,Agtron 25
26.005,56.708,14.351,29.859,9.532,19.836,7.824,17.366,128.909,2.278,128.074,1.831,8.087,16.926,0,Agtron 25
16.599,47.685,19.535,40.478,12.435,25.836,10.022,21.679,129.48,3.384,128.983,3.249,9.956,20.7,0,Agtron 35
16.72,47.516,19.793,41.16,12.357,25.86,9.921,21.65,129.484,3.399,128.987,3.391,9.869,20.668,0,Agtron 35
15.364,45.794,19.045,40.821,11.596,24.754,9.287,20.713,129.374,3.302,128.956,3.219,9.278,19.825,0,Agtron 35
15.419,45.519,19.386,41.358,11.937,25.282,9.561,21.099,129.425,3.384,129.0,3.382,9.525,20.167,0,Agtron 35
15.79,45.986,19.269,40.468,11.894,25.183,9.533,21.02,129.432,3.365,128.927,3.229,9.5,20.109,0,Agtron 35
15.556,45.443,20.923,43.894,12.652,26.894,10.002,22.147,129.608,3.767,129.141,3.76,9.909,21.071,0,Agtron 35
15.064,44.981,20.591,43.913,12.503,26.602,9.909,21.906,129.558,3.723,129.189,3.729,9.825,20.859,0,Agtron 35
14.955,44.605,21.082,44.738,12.879,27.195,10.215,22.39,129.606,3.807,129.254,3.91,10.093,21.279,0,Agtron 35
14.257,43.37,21.009,45.015,12.601,26.885,9.975,22.113,129.578,3.746,129.242,3.88,9.867,21.034,0,Agtron 35
14.389,43.468,20.721,44.422,12.587,26.821,9.966,22.039,129.548,3.751,129.229,3.857,9.879,20.961,0,Agtron 35
14.536,44.156,20.913,44.76,12.676,26.86,10.074,22.205,129.558,3.733,129.248,3.793,9.971,21.115,0,Agtron 35
13.306,41.057,23.766,50.854,14.657,30.716,11.621,24.901,129.838,4.233,129.868,5.39,11.246,23.41,0,Agtron 45
13.501,40.896,24.018,50.479,14.73,30.595,11.646,24.789,129.867,4.239,129.782,5.312,11.297,23.322,0,Agtron 45
13.097,40.536,24.454,51.71,15.048,31.303,11.892,25.288,129.921,4.347,129.939,5.544,11.486,23.753,0,Agtron 45
12.957,39.63,24.465,51.258,14.861,30.724,11.755,24.952,129.858,4.231,129.838,5.343,11.406,23.468,0,Agtron 45
12.708,39.488,24.416,51.474,15.076,31.097,11.952,25.223,129.892,4.279,129.898,5.45,11.555,23.704,0,Agtron 45
12.876,39.576,23.888,50.88,14.754,31.034,11.678,25.161,129.848,4.259,129.818,5.441,11.306,23.644,0,Agtron 45
