coffee_H_mean,coffee_H_std,coffee_S_mean,coffee_S_std,coffee_V_mean,coffee_V_std,coffee_L_mean,coffee_L_std,coffee_A_mean,coffee_A_std,coffee_Bl_mean,coffee_Bl_std,coffee_grey_mean,coffee_grey_std,flash,agtron
24.601,56.913,16.507,34.076,11.445,24.748,9.381,21.265,129.315,3.27,128.359,2.651,9.449,20.42,0,Agtron 25
20.432,51.301,15.662,33.069,11.104,24.198,9.186,20.97,129.137,2.96,128.419,2.75,9.269,20.145,0,Agtron 25
21.819,53.764,15.996,32.971,11.408,24.119,9.481,21.056,129.213,2.978,128.403,2.395,9.543,20.232,0,Agtron 25
23.082,55.007,15.914,32.878,11.484,24.371,9.552,21.363,129.207,2.974,128.382,2.457,9.628,20.515,0,Agtron 25
23.184,55.516,15.73,32.614,11.42,24.567,9.513,21.655,129.175,2.989,128.403,2.38,9.608,20.783,0,Agtron 25
28.845,58.674,15.098,30.204,10.747,23.388,8.926,21.002,129.028,2.748,127.954,2.039,9.145,20.206,0,Agtron 25
26.325,56.745,13.967,29.268,10.265,22.378,8.581,19.962,128.908,2.552,128.123,2.091,8.794,19.243,0,Agtron 25
27.535,57.715,13.808,28.492,10.227,22.104,8.553,19.727,128.89,2.478,128.06,2.078,8.781,19.042,0,Agtron 25
26.557,56.588,14.537,30.331,10.553,22.597,8.807,20.173,128.932,2.553,128.12,2.216,9.01,19.426,0,Agtron 25
27.536,58.161,14.485,29.846,10.733,23.398,8.96,20.822,128.967,2.61,128.164,2.444,9.158,20.005,0,Agtron 25
26.381,57.149,14.808,30.365,10.957,23.708,9.184,21.263,128.997,2.581,128.203,2.426,9.351,20.403,0,Agtron 25
25.278,55.549,13.937,29.422,10.03,21.862,8.348,19.482,128.887,2.468,128.123,2.045,8.575,18.816,0,Agtron 25
26.267,56.837,14.528,29.955,10.359,22.342,8.632,20.032,128.937,2.492,128.111,2.013,8.842,19.309,0,Agtron 25
16.938,47.977,19.74,40.564,13.321,27.913,10.875,23.935,129.516,3.592,129.019,3.332,10.755,22.759,0,Agtron 35
17.072,47.822,20.009,41.244,13.285,28.024,10.815,24.012,129.522,3.611,129.024,3.471,10.706,22.826,0,Agtron 35
15.694,46.104,19.289,40.964,12.506,27.019,10.156,23.135,129.415,3.524,129.0,3.342,10.092,22.032,0,Agtron 35
15.743,45.828,19.635,41.489,12.846,27.506,10.424,23.456,129.468,3.607,129.045,3.499,10.334,22.318,0,Agtron 35
16.117,46.303,19.509,40.613,12.745,27.276,10.339,23.234,129.474,3.578,128.967,3.346,10.256,22.128,0,Agtron 35
15.957,45.841,21.162,43.979,13.624,29.068,10.936,24.561,129.648,3.94,129.184,3.864,10.785,23.287,0,Agtron 35
15.384,45.321,20.838,44.03,13.372,28.615,10.732,24.069,129.601,3.904,129.233,3.836,10.598,22.843,0,Agtron 35
15.297,44.964,21.324,44.832,13.787,29.229,11.081,24.606,129.648,3.983,129.297,4.011,10.905,23.314,0,Agtron 35
14.606,43.756,21.252,45.108,13.519,28.966,10.85,24.385,129.62,3.923,129.285,3.984,10.688,23.12,0,Agtron 35
14.677,43.781,20.959,44.542,13.392,28.683,10.725,24.025,129.589,3.921,129.272,3.962,10.591,22.783,0,Agtron 35
14.874,44.504,21.143,44.849,13.563,28.857,10.923,24.393,129.596,3.902,129.289,3.892,10.767,23.124,0,Agtron 35
13.515,41.279,23.986,50.898,15.375,32.127,12.3,26.45,129.87,4.342,129.915,5.466,11.883,24.849,0,Agtron 45
13.723,41.157,24.235,50.532,15.407,31.946,12.281,26.244,129.9,4.353,129.828,5.393,11.892,24.671,0,Agtron 45
13.294,40.763,24.665,51.742,15.719,32.614,12.522,26.701,129.954,4.458,129.985,5.615,12.076,25.067,0,Agtron 45
13.181,39.889,24.673,51.281,15.576,32.127,12.432,26.494,129.889,4.342,129.883,5.411,12.041,24.899,0,Agtron 45
12.894,39.706,24.628,51.518,15.734,32.391,12.567,26.604,129.925,4.392,129.942,5.519,12.132,24.987,0,Agtron 45
13.091,39.813,24.099,50.901,15.465,32.412,12.354,26.688,129.877,4.355,129.864,5.516,11.939,25.062,0,Agtron 45
12.346,38.989,24.335,51.489,15.878,33.193,12.688,27.197,129.941,4.452,130.018,5.698,12.21,25.506,0,Agtron 45
12.987,40.47,24.043,50.803,15.71,33.194,12.564,27.299,129.911,4.403,129.963,5.685,12.113,25.61,0,Agtron 45
12.401,39.205,24.122,51.168,15.227,32.396,12.091,26.467,129.917,4.408,129.919,5.575,11.66,24.846,0,Agtron 45
12.296,39.282,24.625,51.863,15.187,32.181,11.977,26.102,129.966,4.479,129.954,5.624,11.563,24.516,0,Agtron 45
12.395,38.832,26.466,55.25,17.531,36.288,13.956,29.66,130.2,4.849,130.48,6.762,13.3,27.682,0,Agtron 55
12.345,38.767,26.055,54.6,17.199,35.707,13.69,29.259,130.169,4.802,130.37,6.54,13.081,27.345,0,Agtron 55
12.167,38.546,25.783,54.651,17.108,35.869,13.623,29.368,130.137,4.821,130.396,6.618,13.009,27.426,0,Agtron 55
12.153,37.884,25.662,54.289,17.02,35.639,13.599,29.313,130.092,4.711,130.334,6.554,12.988,27.387,0,Agtron 55
12.598,39.594,26.279,54.931,17.588,36.388,14.059,29.95,130.184,4.815,130.455,6.666,13.413,27.965,0,Agtron 55
11.713,36.747,25.993,54.58,17.484,36.211,14.003,29.761,130.099,4.695,130.46,6.699,13.354,27.777,0,Agtron 55
12.163,37.258,26.355,54.945,17.918,36.792,14.34,30.208,130.167,4.802,130.513,6.789,13.661,28.183,0,Agtron 55
12.535,38.328,26.616,54.745,18.085,36.905,14.515,30.418,130.16,4.724,130.543,6.825,13.832,28.373,0,Agtron 55
12.17,37.348,26.754,55.685,18.177,37.332,14.573,30.667,130.158,4.774,130.632,7.048,13.87,28.578,0,Agtron 55
12.77,37.884,27.681,57.909,19.222,39.3,15.461,32.315,130.211,4.96,130.992,7.978,14.627,30.022,0,Agtron 65
12.695,37.373,27.586,57.148,19.443,39.432,15.751,32.615,130.138,4.788,130.989,7.896,14.907,30.302,0,Agtron 65
11.231,34.389,26.158,56.171,18.009,38.524,14.498,31.733,129.973,4.651,130.809,7.869,13.735,29.471,0,Agtron 65
11.502,35.462,26.196,56.382,18.1,38.347,14.596,31.564,130.027,4.696,130.831,7.779,13.82,29.334,0,Agtron 65
