coffee_H_mean,coffee_H_std,coffee_S_mean,coffee_S_std,coffee_V_mean,coffee_V_std,coffee_L_mean,coffee_L_std,coffee_A_mean,coffee_A_std,coffee_Bl_mean,coffee_Bl_std,coffee_grey_mean,coffee_grey_std,flash,agtron
24.676,56.965,16.553,34.1,11.638,25.261,9.568,21.827,129.322,3.299,128.367,2.678,9.626,20.935,0,Agtron 25
20.524,51.375,15.709,33.095,11.318,24.774,9.396,21.606,129.143,2.994,128.426,2.775,9.466,20.727,0,Agtron 25
21.9,53.821,16.04,32.999,11.61,24.668,9.679,21.655,129.22,3.015,128.411,2.424,9.729,20.779,0,Agtron 25
23.169,55.064,15.96,32.905,11.696,24.936,9.759,21.98,129.213,3.01,128.39,2.484,9.823,21.08,0,Agtron 25
23.273,55.571,15.775,32.636,11.638,25.143,9.727,22.284,129.181,3.021,128.41,2.407,9.809,21.36,0,Agtron 25
28.961,58.741,15.132,30.223,10.939,23.932,9.111,21.566,129.035,2.791,127.957,2.068,9.32,20.72,0,Agtron 25
26.413,56.786,14.009,29.291,10.494,23.048,8.807,20.689,128.914,2.594,128.131,2.124,9.006,19.904,0,Agtron 25
27.62,57.759,13.846,28.514,10.43,22.707,8.752,20.372,128.896,2.522,128.067,2.11,8.969,19.628,0,Agtron 25
26.64,56.631,14.577,30.351,10.759,23.191,9.008,20.813,128.938,2.592,128.127,2.247,9.2,20.009,0,Agtron 25
27.628,58.207,14.522,29.859,10.942,23.977,9.167,21.454,128.973,2.646,128.17,2.466,9.352,20.582,0,Agtron 25
26.465,57.191,14.842,30.375,11.165,24.276,9.39,21.884,129.002,2.616,128.209,2.447,9.545,20.971,0,Agtron 25
25.361,55.59,13.977,29.44,10.249,22.514,8.564,20.196,128.892,2.507,128.13,2.077,8.778,19.463,0,Agtron 25
26.348,56.877,14.563,29.967,10.569,22.952,8.84,20.697,128.942,2.529,128.117,2.042,9.037,19.914,0,Agtron 25
17.017,48.046,19.774,40.574,13.505,28.331,11.055,24.406,129.522,3.62,129.024,3.345,10.925,23.195,0,Agtron 35
17.16,47.905,20.046,41.254,13.476,28.459,11.001,24.497,129.529,3.642,129.029,3.485,10.882,23.274,0,Agtron 35
15.766,46.17,19.326,40.979,12.695,27.468,10.34,23.64,129.421,3.553,129.007,3.359,10.266,22.498,0,Agtron 35
15.819,45.899,19.671,41.499,13.04,27.954,10.614,23.966,129.474,3.633,129.052,3.515,10.513,22.789,0,Agtron 35
16.188,46.361,19.548,40.628,12.94,27.731,10.531,23.755,129.479,3.604,128.974,3.363,10.436,22.608,0,Agtron 35
16.05,45.928,21.195,43.984,13.833,29.512,11.144,25.089,129.653,3.96,129.189,3.877,10.98,23.778,0,Agtron 35
15.451,45.38,20.873,44.038,13.572,29.048,10.931,24.585,129.606,3.922,129.239,3.85,10.785,23.321,0,Agtron 35
15.372,45.03,21.362,44.841,14.01,29.696,11.302,25.166,129.653,4.002,129.304,4.026,11.113,23.835,0,Agtron 35
14.686,43.831,21.288,45.114,13.748,29.452,11.078,24.971,129.625,3.942,129.292,3.997,10.903,23.664,0,Agtron 35
14.743,43.838,20.999,44.553,13.594,29.123,10.925,24.547,129.594,3.94,129.279,3.978,10.779,23.267,0,Agtron 35
14.938,44.562,21.177,44.856,13.746,29.253,11.104,24.859,129.601,3.92,129.295,3.905,10.938,23.556,0,Agtron 35
13.563,41.324,24.021,50.902,15.535,32.435,12.457,26.813,129.874,4.358,129.922,5.477,12.03,25.189,0,Agtron 45
13.774,41.213,24.266,50.537,15.549,32.221,12.42,26.567,129.904,4.369,129.834,5.402,12.023,24.974,0,Agtron 45
13.338,40.812,24.695,51.744,15.855,32.876,12.653,27.003,129.958,4.475,129.992,5.625,12.2,25.35,0,Agtron 45
13.23,39.939,24.702,51.281,15.723,32.406,12.577,26.827,129.893,4.357,129.888,5.419,12.177,25.211,0,Agtron 45
12.936,39.752,24.661,51.52,15.876,32.664,12.704,26.916,129.93,4.411,129.949,5.529,12.26,25.279,0,Agtron 45
13.144,39.866,24.131,50.899,15.635,32.728,12.522,27.072,129.881,4.37,129.871,5.523,12.097,25.423,0,Agtron 45
12.397,39.042,24.377,51.494,16.055,33.516,12.86,27.581,129.945,4.467,130.027,5.711,12.373,25.867,0,Agtron 45
13.042,40.525,24.084,50.807,15.889,33.521,12.739,27.692,129.915,4.417,129.972,5.698,12.279,25.979,0,Agtron 45
12.45,39.257,24.167,51.184,15.381,32.696,12.239,26.81,129.922,4.422,129.929,5.595,11.8,25.168,0,Agtron 45
12.33,39.319,24.671,51.881,15.321,32.45,12.103,26.401,129.971,4.492,129.964,5.645,11.682,24.797,0,Agtron 45
12.447,38.889,26.517,55.257,17.714,36.598,14.131,30.012,130.206,4.868,130.491,6.777,13.465,28.015,0,Agtron 55
12.402,38.834,26.102,54.604,17.382,36.028,13.865,29.62,130.176,4.821,130.381,6.556,13.245,27.686,0,Agtron 55
12.225,38.608,25.831,54.657,17.306,36.211,13.813,29.76,130.144,4.84,130.407,6.634,13.188,27.797,0,Agtron 55
12.217,37.955,25.711,54.297,17.219,35.988,13.791,29.711,130.098,4.731,130.344,6.57,13.169,27.762,0,Agtron 55
12.659,39.665,26.321,54.933,17.762,36.685,14.226,30.284,130.19,4.834,130.464,6.679,13.569,28.281,0,Agtron 55
11.769,36.808,26.049,54.592,17.682,36.551,14.193,30.144,130.106,4.715,130.473,6.717,13.533,28.139,0,Agtron 55
12.221,37.32,26.405,54.95,18.122,37.13,14.536,30.596,130.173,4.821,130.524,6.804,13.846,28.55,0,Agtron 55
12.591,38.382,26.666,54.75,18.282,37.229,14.704,30.788,130.166,4.742,130.554,6.841,14.01,28.723,0,Agtron 55
12.224,37.402,26.803,55.683,18.372,37.653,14.761,31.032,130.164,4.792,130.644,7.061,14.047,28.925,0,Agtron 55
12.826,37.938,27.734,57.909,19.427,39.612,15.658,32.676,130.217,4.976,131.005,7.99,14.813,30.365,0,Agtron 65
12.76,37.437,27.642,57.147,19.648,39.741,15.948,32.968,130.144,4.804,131.002,7.909,15.092,30.638,0,Agtron 65
11.288,34.454,26.226,56.182,18.211,38.858,14.689,32.094,129.98,4.668,130.826,7.892,13.914,29.814,0,Agtron 65
11.568,35.53,26.267,56.393,18.327,38.716,14.812,31.975,130.034,4.712,130.849,7.801,14.023,29.724,0,Agtron 65
11.347,35.005,26.108,56.145,18.288,38.586,14.773,31.926,130.032,4.733,130.795,7.666,14.0,29.693,0,Agtron 65
11.444,35.059,26.426,56.311,18.363,38.46,14.835,31.803,130.046,4.718,130.805,7.665,14.051,29.579,0,Agtron 65
11.066,34.193,26.113,56.719,18.406,39.206,14.885,32.37,129.993,4.723,130.93,7.934,14.085,30.065,0,Agtron 65
11.646,35.984,26.023,55.778,18.108,37.989,14.674,31.554,130.004,4.647,130.726,7.433,13.926,29.369,0,Agtron 65
11.829,36.226,25.794,55.782,18.266,38.612,14.839,32.063,129.985,4.664,130.806,7.694,14.047,29.808,0,Agtron 65
11.647,35.975,26.126,56.036,18.383,38.537,14.932,32.001,130.005,4.645,130.815,7.651,14.149,29.762,0,Agtron 65
11.914,36.514,25.905,55.875,18.168,38.41,14.732,31.863,129.996,4.676,130.775,7.589,13.96,29.639,0,Agtron 65
12.947,39.871,27.403,57.867,18.965,39.635,15.285,32.761,130.183,4.937,130.998,7.935,14.454,30.443,0,Agtron 65
12.784,39.603,26.142,56.236,17.945,38.187,14.479,31.637,130.07,4.809,130.755,7.53,13.712,29.425,0,Agtron 65
12.274,38.102,26.566,56.922,18.159,38.466,14.701,32.049,130.028,4.707,130.814,7.645,13.936,29.804,0,Agtron 65
12.384,38.436,26.946,57.541,18.455,38.974,14.937,32.4,130.064,4.776,130.922,7.892,14.13,30.094,0,Agtron 65
12.189,38.123,26.683,57.566,18.199,38.631,14.648,31.911,130.1,4.876,130.873,7.77,13.863,29.661,0,Agtron 65
12.175,38.666,26.063,56.499,17.687,37.868,14.246,31.357,130.048,4.816,130.727,7.474,13.507,29.171,0,Agtron 65
12.402,39.12,27.018,57.755,18.3,38.767,14.709,31.965,130.141,4.896,130.912,7.8,13.912,29.709,0,Agtron 65
12.615,39.315,26.712,57.082,18.38,38.638,14.885,32.176,130.089,4.817,130.835,7.6,14.089,29.929,0,Agtron 65
12.575,39.623,26.472,56.853,18.344,38.746,14.846,32.158,130.088,4.818,130.856,7.637,14.041,29.912,0,Agtron 65
12.137,38.129,26.812,57.307,18.497,38.879,14.958,32.206,130.097,4.831,130.913,7.712,14.142,29.94,0,Agtron 65
