coffee_H_mean,coffee_H_std,coffee_S_mean,coffee_S_std,coffee_V_mean,coffee_V_std,coffee_L_mean,coffee_L_std,coffee_A_mean,coffee_A_std,coffee_Bl_mean,coffee_Bl_std,coffee_grey_mean,coffee_grey_std,flash,agtron
24.412,56.78,16.358,33.976,10.943,23.366,8.905,19.827,129.291,3.145,128.334,2.571,9.003,19.115,0,Agtron 25
20.22,51.12,15.519,32.959,10.583,22.72,8.691,19.437,129.113,2.814,128.395,2.673,8.803,18.755,0,Agtron 25
21.629,53.626,15.865,32.874,10.899,22.704,8.993,19.567,129.192,2.847,128.379,2.303,9.085,18.886,0,Agtron 25
22.864,54.865,15.783,32.794,10.908,22.796,8.992,19.665,129.186,2.843,128.358,2.374,9.103,18.979,0,Agtron 25
22.923,55.344,15.591,32.532,10.766,22.787,8.876,19.725,129.152,2.851,128.378,2.29,9.01,19.034,0,Agtron 25
28.515,58.483,14.984,30.136,10.138,21.63,8.335,19.158,129.006,2.603,127.941,1.934,8.591,18.542,0,Agtron 25
26.089,56.617,13.844,29.185,9.649,20.523,7.977,17.956,128.888,2.406,128.101,1.983,8.228,17.439,0,Agtron 25
27.312,57.598,13.693,28.413,9.662,20.382,8.001,17.883,128.872,2.337,128.039,1.967,8.264,17.388,0,Agtron 25
26.34,56.472,14.417,30.252,9.984,20.906,8.25,18.363,128.913,2.418,128.098,2.109,8.489,17.798,0,Agtron 25
27.267,58.017,14.369,29.78,10.121,21.661,8.36,18.929,128.948,2.476,128.144,2.358,8.594,18.297,0,Agtron 25
26.142,57.032,14.681,30.301,10.297,21.866,8.533,19.247,128.979,2.454,128.179,2.333,8.74,18.58,0,Agtron 25
25.075,55.435,13.82,29.34,9.481,20.155,7.813,17.665,128.868,2.324,128.101,1.937,8.073,17.185,0,Agtron 25
26.077,56.747,14.404,29.888,9.757,20.536,8.04,18.078,128.919,2.361,128.086,1.897,8.287,17.553,0,Agtron 25
16.729,47.785,19.619,40.512,12.788,26.667,10.362,22.583,129.494,3.479,128.998,3.281,10.273,21.519,0,Agtron 35
16.849,47.612,19.882,41.192,12.739,26.746,10.291,22.636,129.499,3.491,129.003,3.421,10.215,21.562,0,Agtron 35
15.486,45.906,19.148,40.887,11.945,25.641,9.617,21.643,129.392,3.406,128.975,3.272,9.586,20.666,0,Agtron 35
