coffee_H_mean,coffee_H_std,coffee_S_mean,coffee_S_std,coffee_V_mean,coffee_V_std,coffee_L_mean,coffee_L_std,coffee_A_mean,coffee_A_std,coffee_Bl_mean,coffee_Bl_std,coffee_grey_mean,coffee_grey_std,flash,agtron
24.336,56.719,16.293,33.914,10.766,22.853,8.745,19.342,129.278,3.071,128.323,2.529,8.853,18.682,0,Agtron 25
20.14,51.043,15.447,32.888,10.402,22.171,8.527,18.932,129.099,2.729,128.383,2.622,8.651,18.305,0,Agtron 25
21.553,53.557,15.805,32.816,10.726,22.19,8.835,19.089,129.18,2.768,128.368,2.252,8.938,18.46,0,Agtron 25
22.777,54.796,15.72,32.742,10.703,22.201,8.802,19.087,129.173,2.76,128.347,2.328,8.925,18.463,0,Agtron 25
22.817,55.268,15.52,32.476,10.514,22.071,8.638,18.997,129.139,2.766,128.365,2.238,8.787,18.385,0,Agtron 25
28.342,58.39,14.918,30.1,9.778,20.582,7.979,17.999,128.995,2.528,127.931,1.876,8.259,17.51,0,Agtron 25
26.016,56.57,13.795,29.149,9.464,19.931,7.802,17.37,128.878,2.329,128.091,1.935,8.064,16.922,0,Agtron 25
27.233,57.548,13.642,28.363,9.477,19.786,7.827,17.3,128.861,2.249,128.029,1.918,8.102,16.873,0,Agtron 25
26.264,56.425,14.364,30.21,9.788,20.3,8.065,17.761,128.903,2.337,128.087,2.059,8.317,17.266,0,Agtron 25
27.182,57.968,14.321,29.747,9.919,21.063,8.166,18.314,128.939,2.402,128.135,2.319,8.414,17.751,0,Agtron 25
26.06,56.989,14.636,30.28,10.073,21.228,8.313,18.561,128.971,2.391,128.17,2.296,8.536,17.97,0,Agtron 25
25.01,55.396,13.772,29.297,9.305,19.587,7.647,17.102,128.859,2.245,128.092,1.886,7.919,16.69,0,Agtron 25
26.017,56.715,14.36,29.862,9.569,19.952,7.86,17.482,128.911,2.293,128.076,1.844,8.119,17.027,0,Agtron 25
16.629,47.704,19.555,40.488,12.517,26.026,10.103,21.893,129.482,3.404,128.987,3.257,10.031,20.893,0,Agtron 35
16.746,47.533,19.811,41.166,12.436,26.039,9.998,21.853,129.487,3.418,128.99,3.397,9.94,20.852,0,Agtron 35
15.389,45.812,19.065,40.832,11.674,24.946,9.362,20.925,129.378,3.323,128.96,3.229,9.347,20.016,0,Agtron 35
15.444,45.537,19.407,41.371,12.011,25.465,9.631,21.295,129.429,3.405,129.004,3.392,9.591,20.344,0,Agtron 35
15.812,46.005,19.287,40.481,11.953,25.331,9.589,21.175,129.435,3.384,128.93,3.238,9.552,20.248,0,Agtron 35
15.58,45.469,20.944,43.904,12.714,27.038,10.058,22.292,129.612,3.785,129.145,3.77,9.961,21.203,0,Agtron 35
15.084,45.003,20.612,43.924,12.56,26.741,9.961,22.045,129.562,3.741,129.193,3.738,9.875,20.985,0,Agtron 35
14.977,44.63,21.103,44.749,12.941,27.341,10.271,22.535,129.61,3.827,129.258,3.919,10.146,21.41,0,Agtron 35
14.277,43.392,21.028,45.024,12.659,27.021,10.028,22.252,129.582,3.762,129.245,3.888,9.917,21.161,0,Agtron 35
14.406,43.488,20.74,44.434,12.635,26.938,10.009,22.152,129.551,3.768,129.232,3.866,9.92,21.063,0,Agtron 35
14.56,44.183,20.933,44.771,12.735,26.999,10.128,22.344,129.562,3.752,129.251,3.801,10.022,21.242,0,Agtron 35
13.32,41.073,23.787,50.86,14.706,30.815,11.666,25.001,129.841,4.243,129.872,5.398,11.288,23.502,0,Agtron 45
13.516,40.914,24.038,50.485,14.778,30.695,11.69,24.888,129.87,4.25,129.786,5.32,11.338,23.413,0,Agtron 45
13.111,40.553,24.474,51.714,15.098,31.402,11.938,25.389,129.924,4.357,129.943,5.551,11.528,23.846,0,Agtron 45
12.973,39.649,24.484,51.262,14.912,30.827,11.802,25.057,129.861,4.242,129.843,5.349,11.45,23.564,0,Agtron 45
12.721,39.504,24.433,51.478,15.121,31.188,11.993,25.313,129.894,4.289,129.901,5.456,11.593,23.787,0,Agtron 45
12.889,39.592,23.907,50.883,14.801,31.13,11.721,25.257,129.851,4.268,129.822,5.448,11.346,23.732,0,Agtron 45
12.148,38.748,24.084,51.409,15.204,31.885,12.062,25.816,129.908,4.358,129.963,5.593,11.624,24.221,0,Agtron 45
12.782,40.249,23.777,50.721,14.985,31.794,11.886,25.797,129.879,4.308,129.904,5.579,11.478,24.213,0,Agtron 45
12.204,38.976,23.842,51.027,14.55,31.028,11.466,25.031,129.883,4.317,129.858,5.443,11.076,23.513,0,Agtron 45
12.141,39.103,24.337,51.717,14.559,30.875,11.407,24.774,129.931,4.384,129.889,5.487,11.03,23.285,0,Agtron 45
12.156,38.581,26.1,55.157,16.579,34.625,13.071,27.886,130.157,4.732,130.395,6.635,12.472,26.022,0,Agtron 55
12.079,38.469,25.688,54.509,16.189,33.907,12.746,27.319,130.124,4.682,130.286,6.41,12.196,25.53,0,Agtron 55
11.912,38.283,25.431,54.567,16.087,34.06,12.664,27.396,130.094,4.698,130.314,6.494,12.11,25.581,0,Agtron 55
