coffee_H_mean,coffee_H_std,coffee_S_mean,coffee_S_std,coffee_V_mean,coffee_V_std,coffee_L_mean,coffee_L_std,coffee_A_mean,coffee_A_std,coffee_Bl_mean,coffee_Bl_std,coffee_grey_mean,coffee_grey_std,flash,agtron
24.135,56.527,16.165,33.768,10.446,21.902,8.47,18.565,129.241,2.804,128.309,2.485,8.599,18.003,0,Agtron 25
19.949,50.828,15.333,32.776,10.096,21.249,8.263,18.178,129.065,2.456,128.368,2.582,8.407,17.648,0,Agtron 25
21.408,53.405,15.737,32.768,10.477,21.464,8.613,18.462,129.155,2.574,128.359,2.236,8.733,17.911,0,Agtron 25
22.623,54.649,15.647,32.704,10.435,21.44,8.56,18.401,129.149,2.576,128.336,2.302,8.701,17.863,0,Agtron 25
22.618,55.087,15.414,32.391,10.154,21.026,8.31,18.041,129.109,2.53,128.35,2.19,8.484,17.548,0,Agtron 25
28.047,58.191,14.826,30.086,9.279,19.115,7.498,16.46,128.969,2.316,127.919,1.82,7.812,16.169,0,Agtron 25
25.884,56.468,13.73,29.129,9.202,19.11,7.562,16.621,128.857,2.146,128.08,1.887,7.842,16.273,0,Agtron 25
27.111,57.457,13.595,28.356,9.255,19.099,7.622,16.662,128.844,2.088,128.022,1.889,7.912,16.322,0,Agtron 25
26.137,56.333,14.323,30.235,9.537,19.571,7.825,17.039,128.888,2.199,128.08,2.035,8.095,16.639,0,Agtron 25
27.038,57.867,14.266,29.734,9.658,20.319,7.922,17.599,128.922,2.251,128.127,2.285,8.188,17.128,0,Agtron 25
25.91,56.885,14.595,30.303,9.791,20.465,8.04,17.762,128.957,2.268,128.163,2.274,8.283,17.271,0,Agtron 25
24.893,55.311,13.733,29.326,9.072,18.884,7.425,16.406,128.844,2.108,128.085,1.859,7.714,16.089,0,Agtron 25
25.896,56.629,14.33,29.912,9.329,19.262,7.628,16.78,128.897,2.171,128.071,1.827,7.906,16.419,0,Agtron 25
16.478,47.582,19.458,40.452,12.113,25.093,9.716,20.887,129.462,3.27,128.971,3.229,9.671,19.992,0,Agtron 35
16.629,47.431,19.723,41.135,12.09,25.235,9.669,21.001,129.468,3.298,128.975,3.375,9.635,20.088,0,Agtron 35
15.222,45.666,18.955,40.786,11.221,23.837,8.929,19.726,129.354,3.157,128.943,3.211,8.944,18.945,0,Agtron 35
15.278,45.398,19.303,41.339,11.559,24.399,9.197,20.125,129.407,3.252,128.987,3.375,9.187,19.297,0,Agtron 35
15.643,45.854,19.187,40.441,11.543,24.336,9.2,20.119,129.412,3.218,128.917,3.229,9.19,19.304,0,Agtron 35
15.358,45.251,20.827,43.883,12.221,25.938,9.592,21.108,129.584,3.618,129.129,3.76,9.528,20.139,0,Agtron 35
14.907,44.82,20.493,43.89,12.086,25.658,9.514,20.89,129.532,3.568,129.176,3.729,9.458,19.947,0,Agtron 35
14.776,44.425,20.985,44.726,12.445,26.25,9.801,21.353,129.581,3.659,129.241,3.915,9.708,20.345,0,Agtron 35
14.09,43.193,20.927,45.013,12.2,25.997,9.591,21.135,129.556,3.606,129.231,3.889,9.51,20.153,0,Agtron 35
14.21,43.273,20.631,44.409,12.201,25.951,9.601,21.107,129.525,3.603,129.218,3.866,9.54,20.124,0,Agtron 35
14.346,43.962,20.824,44.752,12.255,25.932,9.67,21.182,129.535,3.592,129.237,3.798,9.595,20.196,0,Agtron 35
13.222,40.923,23.736,50.869,14.521,30.458,11.499,24.659,129.823,4.156,129.869,5.414,11.132,23.189,0,Agtron 45
13.429,40.776,24.012,50.504,14.64,30.436,11.564,24.637,129.856,4.176,129.787,5.345,11.221,23.184,0,Agtron 45
13.03,40.425,24.443,51.728,14.954,31.141,11.807,25.132,129.91,4.286,129.944,5.573,11.406,23.611,0,Agtron 45
12.841,39.453,24.395,51.268,14.619,30.257,11.536,24.499,129.836,4.131,129.83,5.349,11.203,23.054,0,Agtron 45
12.653,39.391,24.412,51.49,15.005,30.973,11.887,25.106,129.882,4.223,129.903,5.479,11.495,23.598,0,Agtron 45
12.783,39.426,23.849,50.894,14.593,30.726,11.534,24.875,129.831,4.172,129.816,5.46,11.172,23.383,0,Agtron 45
12.106,38.652,24.163,51.483,15.259,32.038,12.108,25.956,129.906,4.322,129.989,5.67,11.667,24.35,0,Agtron 45
12.731,40.142,23.837,50.782,15.01,31.875,11.907,25.885,129.873,4.254,129.925,5.647,11.499,24.294,0,Agtron 45
12.13,38.837,23.908,51.121,14.531,31.042,11.441,25.021,129.877,4.26,129.882,5.527,11.052,23.503,0,Agtron 45
12.11,39.019,24.457,51.839,14.656,31.131,11.487,25.004,129.932,4.353,129.925,5.596,11.104,23.496,0,Agtron 45
12.151,38.525,26.281,55.258,16.8,35.084,13.261,28.313,130.164,4.718,130.447,6.745,12.649,26.419,0,Agtron 55
12.048,38.386,25.82,54.605,16.291,34.161,12.826,27.53,130.126,4.653,130.326,6.507,12.271,25.725,0,Agtron 55
11.881,38.205,25.546,54.656,16.169,34.277,12.727,27.575,130.094,4.664,130.35,6.584,12.17,25.747,0,Agtron 55
11.837,37.49,25.406,54.274,16.066,33.996,12.695,27.498,130.046,4.548,130.285,6.511,12.141,25.687,0,Agtron 55
12.286,39.218,26.065,54.946,16.675,34.882,13.187,28.264,130.141,4.666,130.414,6.633,12.596,26.386,0,Agtron 55
11.477,36.436,25.781,54.581,16.726,34.922,13.292,28.381,130.058,4.547,130.42,6.671,12.688,26.483,0,Agtron 55
11.908,36.937,26.123,54.967,17.058,35.368,13.532,28.669,130.122,4.65,130.467,6.753,12.904,26.738,0,Agtron 55
12.297,38.055,26.408,54.761,17.281,35.6,13.752,28.98,130.121,4.585,130.503,6.799,13.118,27.024,0,Agtron 55
11.94,37.059,26.539,55.701,17.425,36.104,13.87,29.355,130.118,4.637,130.589,7.016,13.211,27.347,0,Agtron 55
12.485,37.586,27.44,57.911,18.265,37.916,14.532,30.678,130.178,4.846,130.945,7.955,13.756,28.476,0,Agtron 65
12.397,37.032,27.385,57.158,18.624,38.249,14.959,31.247,130.109,4.674,130.952,7.879,14.165,29.012,0,Agtron 65
10.966,34.027,25.97,56.192,17.278,37.401,13.803,30.49,129.94,4.533,130.774,7.849,13.084,28.298,0,Agtron 65
11.224,35.094,25.984,56.372,17.319,37.137,13.854,30.227,129.991,4.569,130.792,7.754,13.125,28.072,0,Agtron 65
10.943,34.496,25.762,56.112,17.071,36.669,13.614,29.784,129.984,4.578,130.725,7.601,12.912,27.671,0,Agtron 65
11.044,34.553,26.117,56.309,17.202,36.635,13.726,29.761,130.0,4.561,130.74,7.606,13.012,27.652,0,Agtron 65
10.726,33.755,25.809,56.691,17.386,37.619,13.92,30.626,129.951,4.59,130.869,7.882,13.179,28.413,0,Agtron 65
11.248,35.527,25.736,55.763,16.973,36.186,13.582,29.507,129.963,4.5,130.667,7.379,12.902,27.44,0,Agtron 65
11.352,35.642,25.461,55.755,17.037,36.685,13.664,29.903,129.939,4.504,130.741,7.631,12.946,27.768,0,Agtron 65
11.242,35.517,25.836,56.025,17.256,36.782,13.85,30.012,129.965,4.497,130.757,7.599,13.134,27.886,0,Agtron 65
11.457,35.962,25.575,55.829,16.986,36.533,13.605,29.771,129.95,4.518,130.712,7.528,12.904,27.665,0,Agtron 65
12.254,39.071,27.036,57.878,17.532,37.488,13.909,30.306,130.135,4.789,130.936,7.859,13.165,28.126,0,Agtron 65
12.014,38.71,25.72,56.216,16.32,35.622,12.918,28.702,130.014,4.631,130.686,7.437,12.25,26.661,0,Agtron 65
11.461,37.124,26.127,56.902,16.505,35.876,13.114,29.115,129.973,4.522,130.74,7.543,12.45,27.043,0,Agtron 65
11.639,37.555,26.545,57.547,16.865,36.554,13.402,29.61,130.014,4.606,130.852,7.806,12.692,27.463,0,Agtron 65
11.455,37.234,26.285,57.559,16.66,36.242,13.17,29.172,130.048,4.715,130.806,7.683,12.479,27.077,0,Agtron 65
11.446,37.78,25.679,56.497,16.14,35.408,12.755,28.519,129.996,4.655,130.661,7.388,12.11,26.497,0,Agtron 65
11.826,38.454,26.661,57.744,16.954,36.69,13.419,29.591,130.093,4.748,130.846,7.726,12.703,27.469,0,Agtron 65
11.887,38.502,26.334,57.081,16.785,36.201,13.335,29.323,130.041,4.657,130.769,7.524,12.637,27.239,0,Agtron 65
11.885,38.822,26.092,56.84,16.823,36.405,13.379,29.459,130.038,4.664,130.791,7.556,12.666,27.366,0,Agtron 65
11.584,37.481,26.532,57.332,17.254,36.998,13.752,30.009,130.058,4.696,130.867,7.667,13.011,27.865,0,Agtron 65
